State,Price(P),Change(P),Price(D),Change(D)
Andaman And Nicobar,82.46 ₹/L,  NA,78.05 ₹/L,  NA
Andhra Pradesh,109.37 ₹/L,  NA,97.22 ₹/L,  NA
Arunachal Pradesh,92.57 ₹/L,  NA,82.15 ₹/L,  NA
Assam,98.88 ₹/L,  NA,90.08 ₹/L,  NA
Bihar,106.94 ₹/L,  NA,93.20 ₹/L,  NA
Chandigarh,94.30 ₹/L,  NA,82.45 ₹/L,  NA
Chhattisgarh,101.48 ₹/L,  NA,94.41 ₹/L,  NA
Dadra And Nagar Haveli,92.84 ₹/L,  NA,88.33 ₹/L,  NA
Daman And Diu,93.40 ₹/L,  NA,88.88 ₹/L,  NA
Delhi,94.77 ₹/L,  NA,87.67 ₹/L,  NA
Goa,96.77 ₹/L,  NA,88.53 ₹/L,  NA
Gujarat,95.49 ₹/L,  NA,91.18 ₹/L,  NA
Haryana,95.40 ₹/L,  NA,87.85 ₹/L,  NA
Himachal Pradesh,93.35 ₹/L,  NA,85.46 ₹/L,  NA
Jammu And Kashmir,98.06 ₹/L,  NA,84.51 ₹/L,  NA
Jharkhand,98.32 ₹/L,  NA,93.06 ₹/L,  NA
Karnataka,102.86 ₹/L,  NA,90.91 ₹/L,  NA
Kerala,107.10 ₹/L,  NA,95.96 ₹/L,  NA
Madhya Pradesh,106.61 ₹/L,  NA,91.96 ₹/L,  NA
Maharashtra,104.47 ₹/L,  NA,91.03 ₹/L,  NA
Manipur,99.27 ₹/L,  NA,85.34 ₹/L,  NA
Meghalaya,96.34 ₹/L,  NA,87.81 ₹/L,  NA
Mizoram,99.55 ₹/L,  NA,88.58 ₹/L,  NA
Nagaland,98.48 ₹/L,  NA,89.79 ₹/L,  NA
Odisha,102.63 ₹/L,  NA,94.17 ₹/L,  NA
Puducherry,96.92 ₹/L,  NA,86.75 ₹/L,  NA
Punjab,97.95 ₹/L,  NA,87.77 ₹/L,  NA
Rajasthan,104.96 ₹/L,  NA,90.43 ₹/L,  NA
Tamil Nadu,102.41 ₹/L,  NA,93.96 ₹/L,  NA
Telangana,107.12 ₹/L,  NA,95.37 ₹/L,  NA
Uttar Pradesh,94.88 ₹/L,  NA,88.04 ₹/L,  NA
Uttarakhand,94.78 ₹/L,  NA,89.55 ₹/L,  NA
West Bengal,105.83 ₹/L,  NA,92.41 ₹/L,  NA
