City,Price(P),Change(P),Price(D),Change(D)
Baksa,102.13 ₹/L,+ 3.63,93.34 ₹/L,+ 3.62
Barpeta,101.97 ₹/L,+ 3.25,93.18 ₹/L,+ 3.25
Bongaigaon,101.17 ₹/L,+ 2.98,92.46 ₹/L,+ 3.04
Cachar,102.03 ₹/L,+ 3.18,93.28 ₹/L,+ 3.18
Chirang,101.17 ₹/L,+ 3.00,92.46 ₹/L,+ 3.07
Darrang,102.11 ₹/L,+ 3.54,93.32 ₹/L,+ 3.52
Dhemaji,102.87 ₹/L,+ 3.54,94.06 ₹/L,+ 3.54
Dibrugarh,102.32 ₹/L,+ 3.79,93.53 ₹/L,+ 3.76
Goalpara,102.25 ₹/L,+ 3.14,93.45 ₹/L,+ 3.14
Golaghat,101.16 ₹/L,+ 2.81,92.45 ₹/L,+ 2.88
Hailakandi,102.27 ₹/L,+ 3.13,93.53 ₹/L,+ 3.14
Jorhat,101.76 ₹/L,+ 3.13,93.00 ₹/L,+ 3.15
Kamrup,101.21 ₹/L,+ 2.88,92.50 ₹/L,+ 2.94
Karbi Anglong,102.19 ₹/L,+ 2.87,93.43 ₹/L,+ 2.89
Karimganj,102.48 ₹/L,+ 3.47,93.73 ₹/L,+ 3.48
Kokrajhar,101.90 ₹/L,+ 3.13,93.12 ₹/L,+ 3.14
Morigaon,101.89 ₹/L,+ 2.36,93.10 ₹/L,+ 2.38
Nagaon,102.03 ₹/L,+ 2.68,93.23 ₹/L,+ 2.68
Nalbari,101.79 ₹/L,+ 2.93,93.03 ₹/L,+ 2.97
Sonitpur,101.43 ₹/L,+ 3.05,92.73 ₹/L,+ 3.12
Tinsukia,101.35 ₹/L,+ 2.91,92.63 ₹/L,+ 2.97
Udalguri,102.48 ₹/L,+ 3.55,93.68 ₹/L,+ 3.55
