City,Price(P),Change(P),Price(D),Change(D)
Araria,106.93 ₹/L,  0.00,93.20 ₹/L,  0.00
Arwal,105.81 ₹/L,  0.00,92.03 ₹/L,  0.00
Banka,106.31 ₹/L,  0.00,92.48 ₹/L,  0.00
Begusarai,105.05 ₹/L,  0.00,91.30 ₹/L,  0.00
Bhagalpur,105.83 ₹/L,  0.00,92.03 ₹/L,  0.00
Bhojpur,105.60 ₹/L,  0.00,91.84 ₹/L,  0.00
Buxar,106.55 ₹/L,  0.00,92.73 ₹/L,  0.00
Darbhanga,106.04 ₹/L,  0.00,92.23 ₹/L,  0.00
East Champaran,106.72 ₹/L,  0.00,92.89 ₹/L,  0.00
Gaya,106.44 ₹/L,  0.00,92.63 ₹/L,  0.00
Gopalganj,106.95 ₹/L,  0.00,93.18 ₹/L,  0.00
Jamui,106.24 ₹/L,  0.00,92.42 ₹/L,  0.00
Katihar,106.94 ₹/L,  0.00,93.20 ₹/L,  0.00
Khagaria,105.68 ₹/L,  0.00,91.89 ₹/L,  0.00
Kishanganj,106.93 ₹/L,  0.00,93.20 ₹/L,  0.00
Madhepura,106.51 ₹/L,  0.00,92.67 ₹/L,  0.00
Madhubani,106.71 ₹/L,  0.00,92.85 ₹/L,  0.00
Munger,105.46 ₹/L,- 0.73,91.69 ₹/L,- 0.68
Muzaffarpur,106.35 ₹/L,  0.00,92.52 ₹/L,  0.00
Nalanda,105.70 ₹/L,  0.00,91.93 ₹/L,  0.00
Nawada,106.38 ₹/L,  0.00,92.57 ₹/L,  0.00
Patna,105.23 ₹/L,- 0.35,91.49 ₹/L,- 0.33
Purnia,106.94 ₹/L,  0.00,93.10 ₹/L,- 0.10
Rohtas,106.80 ₹/L,  0.00,92.96 ₹/L,  0.00
Saharsa,105.74 ₹/L,  0.00,91.94 ₹/L,  0.00
Samastipur,105.49 ₹/L,  0.00,91.71 ₹/L,  0.00
Saran,105.70 ₹/L,+ 0.04,91.93 ₹/L,+ 0.04
Sheikhpura,106.56 ₹/L,  0.00,92.74 ₹/L,  0.00
Sheohar,106.55 ₹/L,  0.00,92.70 ₹/L,  0.00
Sitamarhi,106.43 ₹/L,  0.00,92.59 ₹/L,  0.00
Supaul,106.42 ₹/L,  0.00,92.58 ₹/L,  0.00
Vaishali,105.54 ₹/L,- 0.14,91.78 ₹/L,- 0.13
West Champaran,106.95 ₹/L,  0.00,93.21 ₹/L,  0.00
