City,Price(P),Change(P),Price(D),Change(D)
Central Delhi,102.12 ₹/L,  0.00,95.20 ₹/L,  0.00
Delhi Shahdara,102.12 ₹/L,  0.00,95.20 ₹/L,  0.00
East Delhi,102.12 ₹/L,  0.00,95.20 ₹/L,  0.00
New Delhi,102.12 ₹/L,  0.00,95.20 ₹/L,  0.00
North Delhi,102.12 ₹/L,  0.00,95.20 ₹/L,  0.00
North East Delhi,102.12 ₹/L,  0.00,95.20 ₹/L,  0.00
North West Delhi,102.12 ₹/L,  0.00,95.20 ₹/L,  0.00
South Delhi,102.12 ₹/L,  0.00,95.20 ₹/L,  0.00
South East Delhi,102.12 ₹/L,  0.00,95.20 ₹/L,  0.00
South West Delhi,102.12 ₹/L,  0.00,95.20 ₹/L,  0.00
West Delhi,102.12 ₹/L,  0.00,95.20 ₹/L,  0.00
