City,Price(P),Change(P),Price(D),Change(D)
Ambala,95.91 ₹/L,  NA,88.35 ₹/L,  NA
Bhiwani,96.09 ₹/L,  NA,88.51 ₹/L,  NA
Faridabad,95.96 ₹/L,  NA,88.41 ₹/L,  NA
Fatehabad,96.46 ₹/L,  NA,88.87 ₹/L,  NA
Gurgaon,95.51 ₹/L,  NA,87.98 ₹/L,  NA
Hisar,96.21 ₹/L,  NA,88.63 ₹/L,  NA
Jhajjar,95.78 ₹/L,  NA,88.23 ₹/L,  NA
Jind,95.49 ₹/L,  NA,87.93 ₹/L,  NA
Kaithal,95.40 ₹/L,  NA,87.85 ₹/L,  NA
Karnal,95.28 ₹/L,  NA,87.73 ₹/L,  NA
Kurukshetra,95.45 ₹/L,  NA,87.90 ₹/L,  NA
Mahendragarh,95.54 ₹/L,  NA,88.00 ₹/L,  NA
Mewat,95.58 ₹/L,  NA,88.04 ₹/L,  NA
Palwal,95.84 ₹/L,  NA,88.29 ₹/L,  NA
Panchkula,96.47 ₹/L,  NA,88.88 ₹/L,  NA
Panipat,94.89 ₹/L,  NA,87.35 ₹/L,  NA
Rewari,95.06 ₹/L,  NA,87.53 ₹/L,  NA
Rohtak,95.55 ₹/L,  NA,87.99 ₹/L,  NA
Sirsa,97.06 ₹/L,  NA,89.47 ₹/L,  NA
Sonipat,95.32 ₹/L,  NA,87.77 ₹/L,  NA
