City,Price(P),Change(P),Price(D),Change(D)
Anantnag,106.40 ₹/L,+ 2.76,95.01 ₹/L,+ 2.74
Baramullah,108.63 ₹/L,+ 2.30,96.58 ₹/L,+ 2.33
Doda,106.32 ₹/L,+ 2.70,94.95 ₹/L,+ 2.69
Ganderbal,110.21 ₹/L,+ 4.06,97.79 ₹/L,+ 3.69
Jammu,104.33 ₹/L,+ 2.83,93.02 ₹/L,+ 2.81
Kathua,104.70 ₹/L,+ 2.83,93.37 ₹/L,+ 2.81
Kishtwar,106.32 ₹/L,+ 2.71,94.96 ₹/L,+ 2.70
Kulgam,106.33 ₹/L,+ 2.70,94.96 ₹/L,+ 2.69
Kupwara,109.28 ₹/L,+ 2.61,97.16 ₹/L,+ 2.60
Poonch,106.28 ₹/L,+ 2.71,94.93 ₹/L,+ 2.70
Pulwama,106.40 ₹/L,+ 0.61,95.01 ₹/L,+ 1.25
Rajouri,105.61 ₹/L,+ 2.53,94.21 ₹/L,+ 2.61
Ramban,106.40 ₹/L,+ 2.69,95.00 ₹/L,+ 2.98
Reasi,105.68 ₹/L,+ 2.70,94.01 ₹/L,+ 2.69
Samba,104.17 ₹/L,+ 2.77,92.87 ₹/L,+ 2.75
Shopian,106.41 ₹/L,+ 2.70,95.01 ₹/L,+ 2.70
Srinagar,108.58 ₹/L,+ 2.71,96.51 ₹/L,+ 2.69
Udhampur,105.82 ₹/L,+ 2.85,94.13 ₹/L,+ 2.83
