City,Price(P),Change(P),Price(D),Change(D)
Bokaro,105.43 ₹/L,  0.00,100.99 ₹/L,  0.00
Chatra,106.75 ₹/L,  0.00,101.14 ₹/L,  0.00
Dhanbad,105.48 ₹/L,  0.00,100.51 ₹/L,  0.00
Dumka,106.14 ₹/L,  0.00,101.04 ₹/L,  0.00
East Singhbhum,105.22 ₹/L,  0.00,100.42 ₹/L,  0.00
Garhwa,107.09 ₹/L,  0.00,102.16 ₹/L,  0.00
Giridih,106.60 ₹/L,  0.00,101.60 ₹/L,  0.00
Godda,105.82 ₹/L,  0.00,100.91 ₹/L,  0.00
Gumla,106.37 ₹/L,  0.00,101.02 ₹/L,  0.00
Hazaribagh,106.25 ₹/L,  0.00,101.52 ₹/L,  0.00
Jamtara,105.69 ₹/L,  0.00,100.80 ₹/L,  0.00
Khunti,105.17 ₹/L,  0.00,100.41 ₹/L,  0.00
Koderma,106.19 ₹/L,  0.00,101.27 ₹/L,  0.00
Latehar,106.11 ₹/L,  0.00,101.71 ₹/L,  0.00
Lohardaga,106.03 ₹/L,  0.00,101.24 ₹/L,  0.00
Pakur,106.23 ₹/L,  0.00,101.65 ₹/L,  0.00
Ramgarh,105.90 ₹/L,  0.00,101.04 ₹/L,  0.00
Ranchi,105.26 ₹/L,  0.00,100.89 ₹/L,  0.00
Sahibganj,106.74 ₹/L,  0.00,101.73 ₹/L,  0.00
Simdega,106.35 ₹/L,  0.00,101.47 ₹/L,  0.00
West Singhbhum,106.65 ₹/L,  0.00,100.93 ₹/L,  0.00
