City,Price(P),Change(P),Price(D),Change(D)
Bagalkot,103.49 ₹/L,+ 0.16,91.54 ₹/L,+ 0.15
Bangalore,102.96 ₹/L,  0.00,90.99 ₹/L,  0.00
Bangalore Rural,102.99 ₹/L,+ 0.44,91.06 ₹/L,+ 0.41
Belgaum,103.46 ₹/L,- 0.43,91.52 ₹/L,- 0.40
Bellary,104.09 ₹/L,  0.00,92.22 ₹/L,+ 0.04
Bidar,103.52 ₹/L,- 0.56,91.57 ₹/L,- 0.65
Chamrajnagar,103.13 ₹/L,- 0.27,91.18 ₹/L,- 0.26
Chikmagalur,104.21 ₹/L,+ 0.13,92.21 ₹/L,+ 0.52
Chitradurga,104.13 ₹/L,  0.00,92.26 ₹/L,  0.00
Davangere,104.14 ₹/L,+ 0.01,92.25 ₹/L,- 0.01
Dharwad,102.73 ₹/L,- 0.25,90.84 ₹/L,- 0.23
Gadag,103.69 ₹/L,- 0.11,91.73 ₹/L,- 0.10
Gulbarga,102.98 ₹/L,- 0.23,91.07 ₹/L,- 0.21
Hassan,102.87 ₹/L,- 0.17,90.75 ₹/L,- 0.16
Haveri,103.76 ₹/L,+ 0.28,91.80 ₹/L,+ 0.26
Kodagu,104.08 ₹/L,  0.00,92.06 ₹/L,- 0.04
Kolar,103.15 ₹/L,+ 0.30,91.21 ₹/L,+ 0.28
Koppal,104.09 ₹/L,  0.00,92.18 ₹/L,  0.00
Mandya,102.47 ₹/L,- 0.40,90.57 ₹/L,- 0.37
Mysore,102.47 ₹/L,- 0.70,90.57 ₹/L,- 0.65
Raichur,103.90 ₹/L,- 0.19,91.92 ₹/L,- 0.26
Ramanagara,103.40 ₹/L,+ 0.16,91.45 ₹/L,+ 0.15
Shimoga,104.23 ₹/L,+ 0.01,92.31 ₹/L,  0.00
Tumkur,104.14 ₹/L,+ 0.60,91.97 ₹/L,+ 0.40
Udupi,102.41 ₹/L,- 0.49,90.48 ₹/L,- 0.45
