City,Price(P),Change(P),Price(D),Change(D)
Alappuzha,110.31 ₹/L,+ 1.28,97.89 ₹/L,  0.00
Ernakulam,109.89 ₹/L,+ 0.95,97.81 ₹/L,  0.00
Idukki,110.13 ₹/L,+ 0.95,98.04 ₹/L,  0.00
Kannur,110.11 ₹/L,+ 0.95,98.05 ₹/L,  0.00
Kasaragod,110.52 ₹/L,+ 0.94,98.44 ₹/L,  0.00
Kollam,111.22 ₹/L,+ 1.35,98.69 ₹/L,  0.00
Kottayam,110.21 ₹/L,+ 0.95,98.11 ₹/L,  0.00
Kozhikode,110.12 ₹/L,+ 0.88,98.12 ₹/L,  0.00
Malappuram,110.25 ₹/L,+ 0.88,98.25 ₹/L,  0.00
Palakkad,110.97 ₹/L,+ 0.95,98.83 ₹/L,  0.00
Thiruvananthapuram,111.71 ₹/L,+ 1.10,99.38 ₹/L,  0.00
Thrissur,110.01 ₹/L,+ 0.55,98.31 ₹/L,  0.00
Wayanad,111.02 ₹/L,+ 0.66,99.08 ₹/L,  0.00
