City,Price(P),Change(P),Price(D),Change(D)
Agar Malwa,107.99 ₹/L,+ 0.54,93.25 ₹/L,+ 0.52
Alirajpur,108.00 ₹/L,+ 0.01,93.39 ₹/L,+ 0.09
Anupur,107.99 ₹/L,  0.00,93.40 ₹/L,  0.00
Ashoknagar,106.23 ₹/L,  0.00,91.61 ₹/L,- 0.61
Badwani,108.00 ₹/L,  0.00,93.40 ₹/L,+ 0.05
Balaghat,107.99 ₹/L,- 0.01,93.40 ₹/L,+ 0.01
Betul,107.52 ₹/L,+ 0.29,92.82 ₹/L,+ 0.13
Bhind,106.57 ₹/L,- 0.34,91.94 ₹/L,- 0.19
Bhopal,106.43 ₹/L,+ 0.08,91.81 ₹/L,- 0.08
Burhanpur,108.00 ₹/L,  0.00,93.40 ₹/L,  0.00
Chhatarpur,107.43 ₹/L,- 0.60,92.72 ₹/L,- 0.49
Damoh,107.39 ₹/L,+ 0.16,92.69 ₹/L,- 0.16
Datia,107.55 ₹/L,  0.00,92.84 ₹/L,+ 0.14
Dewas,107.61 ₹/L,- 0.04,92.92 ₹/L,+ 0.79
Dhar,107.37 ₹/L,- 0.63,92.70 ₹/L,- 0.14
Dindori,108.00 ₹/L,  0.00,93.40 ₹/L,+ 0.54
Guna,107.86 ₹/L,+ 0.79,93.10 ₹/L,+ 0.34
Gwalior,106.45 ₹/L,- 0.64,91.83 ₹/L,  0.00
Harda,106.72 ₹/L,- 0.40,92.08 ₹/L,- 0.51
Hoshangabad,106.44 ₹/L,+ 0.12,91.82 ₹/L,+ 0.10
Indore,106.75 ₹/L,+ 0.20,92.12 ₹/L,+ 0.15
Jabalpur,106.81 ₹/L,+ 0.14,92.18 ₹/L,+ 0.30
Katni,107.47 ₹/L,- 0.10,92.78 ₹/L,- 0.10
Khandwa,107.79 ₹/L,- 0.21,93.08 ₹/L,+ 0.10
Khargone,108.00 ₹/L,  0.00,93.33 ₹/L,+ 0.41
Mandla,106.82 ₹/L,- 1.32,92.19 ₹/L,- 0.99
Mandsaur,107.21 ₹/L,- 0.12,92.53 ₹/L,- 0.11
Morena,106.43 ₹/L,- 0.26,91.81 ₹/L,- 0.05
Panna,107.79 ₹/L,- 0.21,93.08 ₹/L,- 0.24
Raisen,107.11 ₹/L,+ 0.02,92.43 ₹/L,+ 0.61
Rajgarh,107.77 ₹/L,+ 0.69,93.04 ₹/L,+ 0.78
Ratlam,106.62 ₹/L,  0.00,92.00 ₹/L,+ 0.18
Rewa,108.00 ₹/L,+ 0.01,93.39 ₹/L,- 0.01
Sagar,107.00 ₹/L,+ 0.17,92.33 ₹/L,+ 0.16
Satna,107.99 ₹/L,- 0.01,93.39 ₹/L,  0.00
Sehore,106.79 ₹/L,+ 0.49,92.13 ₹/L,+ 0.20
Seoni,108.00 ₹/L,+ 0.11,93.32 ₹/L,+ 0.69
Shahdol,107.99 ₹/L,  0.00,93.39 ₹/L,- 0.01
Shajapur,107.56 ₹/L,  0.00,92.86 ₹/L,+ 0.53
Sheopur,108.00 ₹/L,  0.00,93.34 ₹/L,+ 0.31
Shivpuri,107.45 ₹/L,- 0.55,92.74 ₹/L,+ 0.21
Sidhi,107.79 ₹/L,  0.00,93.10 ₹/L,- 0.05
Singrauli,107.33 ₹/L,- 0.10,92.67 ₹/L,+ 0.48
Tikamgarh,107.38 ₹/L,  0.00,92.66 ₹/L,  0.00
Ujjain,106.69 ₹/L,- 0.34,92.07 ₹/L,+ 0.15
Umaria,108.00 ₹/L,  0.00,93.40 ₹/L,  0.00
Vidisha,106.78 ₹/L,- 0.01,92.12 ₹/L,- 0.12
