City,Price(P),Change(P),Price(D),Change(D)
Dimapur,214.00 ₹/L,+ 37.00,176.00 ₹/L,+ 37.00
Kiphere,214.00 ₹/L,+ 37.00,176.00 ₹/L,+ 37.00
Kohima,214.00 ₹/L,+ 37.00,176.00 ₹/L,+ 37.00
Longleng,214.00 ₹/L,+ 37.00,176.00 ₹/L,+ 37.00
Mokokchung,214.00 ₹/L,+ 37.00,176.00 ₹/L,+ 37.00
Mon,214.00 ₹/L,+ 37.00,176.00 ₹/L,+ 37.00
Peren,214.00 ₹/L,+ 37.00,176.00 ₹/L,+ 37.00
Phek,214.00 ₹/L,+ 37.00,176.00 ₹/L,+ 37.00
Tuensang,214.00 ₹/L,+ 37.00,176.00 ₹/L,+ 37.00
Wokha,214.00 ₹/L,+ 37.00,176.00 ₹/L,+ 37.00
Zunheboto,214.00 ₹/L,+ 37.00,176.00 ₹/L,+ 37.00
