City,Price(P),Change(P),Price(D),Change(D)
Angul,94.05 ₹/L,- 8.42,102.63 ₹/L,+ 8.61
Bargarh,93.54 ₹/L,- 8.82,102.35 ₹/L,+ 8.44
Bhadrak,93.51 ₹/L,- 8.15,102.15 ₹/L,+ 8.92
Boudh,94.15 ₹/L,- 8.48,102.57 ₹/L,+ 8.37
Cuttack,93.04 ₹/L,- 8.42,101.46 ₹/L,+ 8.44
Deogarh,92.29 ₹/L,- 5.35,97.68 ₹/L,+ 5.34
Dhenkanal,93.59 ₹/L,- 8.32,102.15 ₹/L,+ 8.69
Gajapati,94.20 ₹/L,- 8.43,102.63 ₹/L,+ 8.43
Ganjam,93.95 ₹/L,- 8.63,101.88 ₹/L,+ 7.78
Jagatsinghpur,92.77 ₹/L,- 7.87,101.22 ₹/L,+ 9.01
Jharsuguda,92.78 ₹/L,- 8.40,101.18 ₹/L,+ 8.40
Kalahandi,94.19 ₹/L,- 8.43,102.63 ₹/L,+ 8.44
Kandhamal,94.26 ₹/L,- 8.37,102.69 ₹/L,+ 8.49
Kendrapara,92.97 ₹/L,- 8.07,101.00 ₹/L,+ 8.41
Keonjhar,94.21 ₹/L,- 8.43,102.10 ₹/L,+ 7.89
Khordha,92.55 ₹/L,- 8.56,101.19 ₹/L,+ 8.50
Koraput,94.20 ₹/L,- 8.43,102.63 ₹/L,+ 8.44
Malkangiri,94.19 ₹/L,- 8.40,102.58 ₹/L,+ 8.43
Mayurbhanj,93.88 ₹/L,- 8.67,102.33 ₹/L,+ 8.25
Nabarangapur,94.20 ₹/L,- 8.43,102.63 ₹/L,+ 8.43
Nayagarh,93.04 ₹/L,- 8.35,101.48 ₹/L,+ 8.52
Puri,93.06 ₹/L,- 8.29,101.11 ₹/L,+ 8.19
Rayagada,94.20 ₹/L,- 8.43,102.62 ₹/L,+ 8.42
Sambalpur,93.96 ₹/L,- 8.27,101.47 ₹/L,+ 7.68
