City,Price(P),Change(P),Price(D),Change(D)
Amritsar,96.70 ₹/L,  0.00,86.98 ₹/L,  0.00
Barnala,96.36 ₹/L,  0.00,86.58 ₹/L,  0.00
Bathinda,96.15 ₹/L,  0.00,86.34 ₹/L,  0.00
Faridkot,96.35 ₹/L,  0.00,86.57 ₹/L,- 0.26
Fatehgarh Sahib,96.75 ₹/L,+ 0.17,86.83 ₹/L,  0.00
Fazilka,96.55 ₹/L,  0.00,86.79 ₹/L,- 0.29
Firozpur,96.88 ₹/L,- 0.01,87.18 ₹/L,  0.00
Gurdaspur,96.67 ₹/L,  0.00,86.94 ₹/L,  0.00
Hoshiarpur,96.28 ₹/L,  0.00,86.51 ₹/L,  0.00
Jalandhar,96.19 ₹/L,  0.00,86.41 ₹/L,  0.00
Kapurthala,96.28 ₹/L,  0.00,86.50 ₹/L,  0.00
Ludhiana,96.82 ₹/L,  0.00,87.10 ₹/L,+ 0.36
Mansa,96.40 ₹/L,- 0.18,86.83 ₹/L,  0.00
Moga,96.60 ₹/L,  0.00,86.86 ₹/L,+ 0.07
Muktsar,96.27 ₹/L,- 0.24,86.75 ₹/L,  0.00
Pathankot,97.09 ₹/L,  0.00,87.41 ₹/L,  0.00
Patiala,96.32 ₹/L,  0.00,86.54 ₹/L,  0.00
Sangrur,96.21 ₹/L,  0.00,86.41 ₹/L,  0.00
