City,Price(P),Change(P),Price(D),Change(D)
Ajmer,104.53 ₹/L,  NA,90.04 ₹/L,  NA
Alwar,105.70 ₹/L,  NA,91.07 ₹/L,  NA
Banswara,106.21 ₹/L,  NA,91.72 ₹/L,  NA
Baran,104.74 ₹/L,  NA,90.21 ₹/L,  NA
Barmer,106.21 ₹/L,  NA,91.73 ₹/L,  NA
Bharatpur,104.61 ₹/L,  NA,90.08 ₹/L,  NA
Bhilwara,104.85 ₹/L,  NA,90.34 ₹/L,  NA
Bikaner,106.34 ₹/L,  NA,91.84 ₹/L,  NA
Bundi,104.84 ₹/L,  NA,90.30 ₹/L,  NA
Churu,106.20 ₹/L,  NA,91.73 ₹/L,  NA
Dausa,105.19 ₹/L,  NA,90.61 ₹/L,  NA
Dhaulpur,105.39 ₹/L,  NA,90.79 ₹/L,  NA
Dungarpur,106.21 ₹/L,  NA,91.73 ₹/L,  NA
Ganganagar,106.31 ₹/L,  NA,91.82 ₹/L,  NA
Hanumangarh,106.21 ₹/L,  NA,91.72 ₹/L,  NA
Jaipur,104.65 ₹/L,  NA,90.15 ₹/L,  NA
Jaisalmer,106.20 ₹/L,  NA,91.73 ₹/L,  NA
Jalor,106.20 ₹/L,  NA,91.73 ₹/L,  NA
Jhalawar,105.53 ₹/L,  NA,90.93 ₹/L,  NA
Jodhpur,105.65 ₹/L,  NA,91.06 ₹/L,  NA
Karauli,105.45 ₹/L,  NA,90.85 ₹/L,  NA
Kota,104.27 ₹/L,  NA,89.79 ₹/L,  NA
Nagaur,106.29 ₹/L,  NA,91.64 ₹/L,  NA
Pali,105.31 ₹/L,  NA,90.75 ₹/L,  NA
Rajsamand,105.38 ₹/L,  NA,90.81 ₹/L,  NA
Sikar,106.20 ₹/L,  NA,91.57 ₹/L,  NA
Sirohi,106.21 ₹/L,  NA,91.73 ₹/L,  NA
Tonk,105.38 ₹/L,  NA,90.80 ₹/L,  NA
Udaipur,105.80 ₹/L,  NA,91.19 ₹/L,  NA
