City,Price(P),Change(P),Price(D),Change(D)
Ariyalur,102.05 ₹/L,  0.00,93.65 ₹/L,  0.00
Chennai,100.84 ₹/L,- 0.06,92.39 ₹/L,- 0.10
Coimbatore,101.43 ₹/L,  0.00,93.02 ₹/L,  0.00
Cuddalore,102.80 ₹/L,+ 0.12,94.39 ₹/L,+ 0.17
Dharmapuri,102.09 ₹/L,  0.00,93.68 ₹/L,  0.00
Dindigul,101.58 ₹/L,  0.00,93.18 ₹/L,  0.00
Erode,101.40 ₹/L,  0.00,93.01 ₹/L,  0.00
Kanchipuram,101.33 ₹/L,  0.00,92.90 ₹/L,  0.00
Karur,101.23 ₹/L,  0.00,92.84 ₹/L,  0.00
Krishnagiri,102.80 ₹/L,  0.00,94.39 ₹/L,  0.00
Madurai,101.51 ₹/L,- 0.05,93.13 ₹/L,- 0.04
Nagapattinam,102.15 ₹/L,  0.00,93.76 ₹/L,  0.00
Namakkal,101.24 ₹/L,  0.00,92.85 ₹/L,  0.00
Nilgiris,102.78 ₹/L,  0.00,94.38 ₹/L,  0.00
Perambalur,101.81 ₹/L,  0.00,93.42 ₹/L,  0.00
Pudukkottai,101.71 ₹/L,- 0.14,93.32 ₹/L,- 0.14
Ramanathapuram,102.32 ₹/L,  0.00,93.92 ₹/L,  0.00
Salem,101.84 ₹/L,  0.00,93.44 ₹/L,  0.00
Sivaganga,102.02 ₹/L,  0.00,93.62 ₹/L,  0.00
Thanjavur,101.64 ₹/L,  0.00,93.25 ₹/L,  0.00
Thiruvarur,101.89 ₹/L,  0.00,93.49 ₹/L,  0.00
Tirunelveli,101.60 ₹/L,  0.00,93.23 ₹/L,  0.00
Tiruvallur,100.86 ₹/L,+ 0.03,92.41 ₹/L,  0.00
Tiruvannamalai,102.10 ₹/L,  0.00,93.65 ₹/L,  0.00
Tuticorin,101.47 ₹/L,- 0.05,93.10 ₹/L,- 0.05
Vellore,102.25 ₹/L,  0.00,93.80 ₹/L,  0.00
Viluppuram,102.20 ₹/L,  0.00,93.75 ₹/L,  0.00
