City,Price(P),Change(P),Price(D),Change(D)
Adilabad,117.06 ₹/L,  0.00,105.22 ₹/L,  0.00
Bhadradri Kothagudem,116.54 ₹/L,  0.00,104.66 ₹/L,  0.00
Hyderabad,115.73 ₹/L,  0.00,103.82 ₹/L,  0.00
Khammam,115.90 ₹/L,  0.00,104.40 ₹/L,  0.00
Mahabubabad,116.07 ₹/L,  0.00,104.16 ₹/L,  0.00
Medak,116.14 ₹/L,  0.00,104.89 ₹/L,  0.00
Nalgonda,115.83 ₹/L,  0.00,103.79 ₹/L,  0.00
Nizamabad,117.09 ₹/L,  0.00,105.22 ₹/L,  0.00
Peddapalli,116.53 ₹/L,  0.00,104.48 ₹/L,  0.00
Rajanna Sircilla,116.73 ₹/L,  0.00,104.37 ₹/L,  0.00
Siddipet,115.93 ₹/L,  0.00,104.04 ₹/L,  0.00
Suryapet,115.46 ₹/L,  0.00,103.68 ₹/L,  0.00
Warangal,115.29 ₹/L,  0.00,103.49 ₹/L,  0.00
