City,Price(P),Change(P),Price(D),Change(D)
Almora,93.65 ₹/L,- 0.49,88.45 ₹/L,- 0.71
Bageshwar,94.14 ₹/L,  0.00,89.16 ₹/L,  0.00
Chamoli,94.51 ₹/L,+ 0.04,89.39 ₹/L,+ 0.03
Champawat,93.45 ₹/L,- 0.77,88.43 ₹/L,- 0.82
Dehradun,93.30 ₹/L,- 0.05,88.13 ₹/L,- 0.11
Haridwar,92.75 ₹/L,+ 0.03,87.59 ₹/L,+ 0.02
Nainital,93.20 ₹/L,  0.00,88.14 ₹/L,  0.00
Pithoragarh,94.57 ₹/L,+ 0.93,89.42 ₹/L,+ 0.93
Rudraprayag,94.48 ₹/L,  0.00,89.37 ₹/L,  0.00
Tehri Garhwal,94.05 ₹/L,  0.00,89.03 ₹/L,  0.00
Udham Singh Nagar,93.35 ₹/L,+ 0.02,88.31 ₹/L,+ 0.03
Uttarkashi,94.51 ₹/L,  0.00,89.38 ₹/L,  0.00
