City,Price(P),Change(P),Price(D),Change(D)
Alipurduar,106.34 ₹/L,  0.00,92.88 ₹/L,  0.00
Bankura,105.85 ₹/L,- 0.14,92.42 ₹/L,- 0.13
Birbhum,105.99 ₹/L,- 0.16,92.56 ₹/L,- 0.14
Dakshin Dinajpur,106.26 ₹/L,  0.00,92.80 ₹/L,  0.00
Darjeeling,105.12 ₹/L,  0.00,91.74 ₹/L,  0.00
Hooghly,105.71 ₹/L,  0.00,92.29 ₹/L,  0.00
Howrah,105.60 ₹/L,+ 0.17,92.19 ₹/L,+ 0.15
Jalpaiguri,105.12 ₹/L,  0.00,91.74 ₹/L,  0.00
Jhargram,106.11 ₹/L,  0.00,92.63 ₹/L,  0.00
Kalimpong,106.48 ₹/L,  0.00,92.80 ₹/L,  0.00
Kolkata,105.45 ₹/L,+ 0.04,92.02 ₹/L,  0.00
Malda,105.19 ₹/L,  0.00,91.80 ₹/L,  0.00
Murshidabad,106.53 ₹/L,+ 0.57,93.06 ₹/L,+ 0.53
Nadia,106.72 ₹/L,  0.00,93.33 ₹/L,  0.00
North 24 Parganas,105.41 ₹/L,  0.00,92.02 ₹/L,  0.00
Paschim Bardhaman,105.24 ₹/L,  0.00,91.86 ₹/L,  0.00
Purba Bardhaman,106.11 ₹/L,  0.00,92.67 ₹/L,  0.00
Purulia,106.22 ₹/L,  0.00,92.77 ₹/L,  0.00
South 24 Parganas,105.90 ₹/L,  0.00,92.46 ₹/L,  0.00
Uttar Dinajpur,105.57 ₹/L,  0.00,92.16 ₹/L,  0.00
