District,Petrol Price,Change
"Oct 16, 2025",128.00 ₹/L,- 20.43
"Oct 15, 2025",107.57 ₹/L,- 0.07
"Oct 14, 2025",107.50 ₹/L,+ 0.33
"Oct 13, 2025",107.83 ₹/L,- 0.26
"Oct 12, 2025",107.57 ₹/L,- 0.07
"Oct 11, 2025",107.50 ₹/L,  0.00
"Oct 10, 2025",107.50 ₹/L,+ 0.33
"Oct 09, 2025",107.83 ₹/L,- 0.42
"Oct 08, 2025",107.41 ₹/L,  NA
"Oct 06, 2025",107.83 ₹/L,  0.00
"Oct 17, 2025",206.00 ₹/L,- 78.00
"Oct 16, 2025",128.00 ₹/L,- 20.00
"Oct 15, 2025",108.00 ₹/L,- 0.01
"Oct 14, 2025",107.99 ₹/L,  0.00
"Oct 13, 2025",107.99 ₹/L,  0.00
"Oct 12, 2025",107.99 ₹/L,+ 0.01
"Oct 11, 2025",108.00 ₹/L,  0.00
"Oct 10, 2025",108.00 ₹/L,  0.00
"Oct 09, 2025",108.00 ₹/L,- 0.01
"Oct 08, 2025",107.99 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 34.01
"Oct 15, 2025",107.99 ₹/L,  0.00
"Oct 14, 2025",107.99 ₹/L,  0.00
"Oct 13, 2025",107.99 ₹/L,  0.00
"Oct 12, 2025",107.99 ₹/L,  0.00
"Oct 11, 2025",107.99 ₹/L,  0.00
"Oct 10, 2025",107.99 ₹/L,  0.00
"Oct 09, 2025",107.99 ₹/L,  0.00
"Oct 08, 2025",107.99 ₹/L,  NA
"Oct 06, 2025",107.99 ₹/L,  0.00
"Oct 16, 2025",128.00 ₹/L,- 21.41
"Oct 15, 2025",106.59 ₹/L,+ 0.30
"Oct 14, 2025",106.89 ₹/L,+ 0.19
"Oct 13, 2025",107.08 ₹/L,- 0.86
"Oct 12, 2025",106.22 ₹/L,+ 0.67
"Oct 11, 2025",106.89 ₹/L,  0.00
"Oct 10, 2025",106.89 ₹/L,- 0.67
"Oct 09, 2025",106.22 ₹/L,+ 0.37
"Oct 08, 2025",106.59 ₹/L,  NA
"Oct 06, 2025",106.89 ₹/L,  0.00
"Oct 17, 2025",206.00 ₹/L,- 78.00
"Oct 16, 2025",128.00 ₹/L,- 20.06
"Oct 15, 2025",107.94 ₹/L,+ 0.06
"Oct 14, 2025",108.00 ₹/L,  0.00
"Oct 13, 2025",108.00 ₹/L,- 0.22
"Oct 12, 2025",107.78 ₹/L,+ 0.22
"Oct 11, 2025",108.00 ₹/L,  0.00
"Oct 10, 2025",108.00 ₹/L,- 0.22
