District,Petrol Price,Change
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 42.74
"Oct 15, 2025",99.26 ₹/L,+ 0.21
"Oct 14, 2025",99.47 ₹/L,- 0.21
"Oct 13, 2025",99.26 ₹/L,+ 0.09
"Oct 12, 2025",99.35 ₹/L,- 1.08
"Oct 11, 2025",98.27 ₹/L,+ 0.99
"Oct 10, 2025",99.26 ₹/L,  0.00
"Oct 09, 2025",99.26 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 42.35
"Oct 15, 2025",99.65 ₹/L,  0.00
"Oct 14, 2025",99.65 ₹/L,  0.00
"Oct 13, 2025",99.65 ₹/L,  0.00
"Oct 12, 2025",99.65 ₹/L,  0.00
"Oct 11, 2025",99.65 ₹/L,  0.00
"Oct 10, 2025",99.65 ₹/L,  0.00
"Oct 09, 2025",99.65 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 44.33
"Oct 15, 2025",97.67 ₹/L,+ 0.36
"Oct 14, 2025",98.03 ₹/L,+ 0.11
"Oct 13, 2025",98.14 ₹/L,- 0.11
"Oct 12, 2025",98.03 ₹/L,- 0.36
"Oct 11, 2025",97.67 ₹/L,  0.00
"Oct 10, 2025",97.67 ₹/L,+ 0.62
"Oct 09, 2025",98.29 ₹/L,- 0.15
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 42.34
"Oct 15, 2025",99.66 ₹/L,+ 0.03
"Oct 14, 2025",99.69 ₹/L,- 0.03
"Oct 13, 2025",99.66 ₹/L,  0.00
"Oct 12, 2025",99.66 ₹/L,  0.00
"Oct 11, 2025",99.66 ₹/L,  0.00
"Oct 10, 2025",99.66 ₹/L,+ 0.03
"Oct 09, 2025",99.69 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 42.34
"Oct 15, 2025",99.66 ₹/L,+ 0.09
"Oct 14, 2025",99.75 ₹/L,  0.00
"Oct 13, 2025",99.75 ₹/L,- 0.09
"Oct 12, 2025",99.66 ₹/L,+ 0.09
"Oct 11, 2025",99.75 ₹/L,- 0.09
"Oct 10, 2025",99.66 ₹/L,  0.00
"Oct 09, 2025",99.66 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 42.35
"Oct 15, 2025",99.65 ₹/L,- 0.46
"Oct 14, 2025",99.19 ₹/L,  0.00
"Oct 13, 2025",99.19 ₹/L,+ 0.46
"Oct 12, 2025",99.65 ₹/L,  0.00
"Oct 11, 2025",99.65 ₹/L,  0.00
"Oct 10, 2025",99.65 ₹/L,- 0.46
"Oct 09, 2025",99.19 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 42.36
"Oct 15, 2025",99.64 ₹/L,  0.00
"Oct 14, 2025",99.64 ₹/L,  0.00
"Oct 13, 2025",99.64 ₹/L,  0.00
"Oct 12, 2025",99.64 ₹/L,  0.00
"Oct 11, 2025",99.64 ₹/L,  0.00
"Oct 10, 2025",99.64 ₹/L,  0.00
"Oct 09, 2025",99.64 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 42.34
"Oct 15, 2025",99.66 ₹/L,  0.00
"Oct 14, 2025",99.66 ₹/L,  0.00
"Oct 13, 2025",99.66 ₹/L,  0.00
"Oct 12, 2025",99.66 ₹/L,  0.00
"Oct 11, 2025",99.66 ₹/L,  0.00
"Oct 10, 2025",99.66 ₹/L,  0.00
"Oct 09, 2025",99.66 ₹/L,  0.00
