District,Petrol Price,Change
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 45.34
"Oct 15, 2025",96.66 ₹/L,- 0.06
"Oct 14, 2025",96.60 ₹/L,  0.00
"Oct 13, 2025",96.60 ₹/L,+ 0.06
"Oct 12, 2025",96.66 ₹/L,+ 0.33
"Oct 11, 2025",96.99 ₹/L,- 0.33
"Oct 10, 2025",96.66 ₹/L,  0.00
"Oct 09, 2025",96.66 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 43.43
"Oct 15, 2025",98.57 ₹/L,  0.00
"Oct 14, 2025",98.57 ₹/L,  0.00
"Oct 13, 2025",98.57 ₹/L,  0.00
"Oct 12, 2025",98.57 ₹/L,  0.00
"Oct 11, 2025",98.57 ₹/L,  0.00
"Oct 10, 2025",98.57 ₹/L,  0.00
"Oct 09, 2025",98.57 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 44.26
"Oct 15, 2025",97.74 ₹/L,+ 0.14
"Oct 14, 2025",97.88 ₹/L,  0.00
"Oct 13, 2025",97.88 ₹/L,- 0.14
"Oct 12, 2025",97.74 ₹/L,+ 0.14
"Oct 11, 2025",97.88 ₹/L,- 0.14
"Oct 10, 2025",97.74 ₹/L,- 0.48
"Oct 09, 2025",97.26 ₹/L,- 0.36
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 43.42
"Oct 15, 2025",98.58 ₹/L,  0.00
"Oct 14, 2025",98.58 ₹/L,  0.00
"Oct 13, 2025",98.58 ₹/L,  0.00
"Oct 12, 2025",98.58 ₹/L,  0.00
"Oct 11, 2025",98.58 ₹/L,  0.00
"Oct 10, 2025",98.58 ₹/L,  0.00
"Oct 09, 2025",98.58 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 43.42
"Oct 15, 2025",98.58 ₹/L,  0.00
"Oct 14, 2025",98.58 ₹/L,- 0.36
"Oct 13, 2025",98.22 ₹/L,+ 0.36
"Oct 12, 2025",98.58 ₹/L,  0.00
"Oct 11, 2025",98.58 ₹/L,  0.00
"Oct 10, 2025",98.58 ₹/L,- 0.36
"Oct 09, 2025",98.22 ₹/L,- 0.03
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 43.58
"Oct 15, 2025",98.42 ₹/L,+ 0.16
"Oct 14, 2025",98.58 ₹/L,  0.00
"Oct 13, 2025",98.58 ₹/L,- 0.16
"Oct 12, 2025",98.42 ₹/L,  0.00
"Oct 11, 2025",98.42 ₹/L,  0.00
"Oct 10, 2025",98.42 ₹/L,+ 0.16
"Oct 09, 2025",98.58 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 45.01
"Oct 15, 2025",96.99 ₹/L,+ 0.54
"Oct 14, 2025",97.53 ₹/L,- 0.36
"Oct 13, 2025",97.17 ₹/L,- 0.18
"Oct 12, 2025",96.99 ₹/L,  0.00
"Oct 11, 2025",96.99 ₹/L,  0.00
"Oct 10, 2025",96.99 ₹/L,  0.00
"Oct 09, 2025",96.99 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 43.43
"Oct 15, 2025",98.57 ₹/L,- 0.90
"Oct 14, 2025",97.67 ₹/L,  0.00
"Oct 13, 2025",97.67 ₹/L,+ 0.90
"Oct 12, 2025",98.57 ₹/L,  0.00
"Oct 11, 2025",98.57 ₹/L,  0.00
"Oct 10, 2025",98.57 ₹/L,- 1.01
"Oct 09, 2025",97.56 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 43.43
"Oct 15, 2025",98.57 ₹/L,  0.00
"Oct 14, 2025",98.57 ₹/L,  0.00
"Oct 13, 2025",98.57 ₹/L,  0.00
"Oct 12, 2025",98.57 ₹/L,  0.00
"Oct 11, 2025",98.57 ₹/L,  0.00
"Oct 10, 2025",98.57 ₹/L,  0.00
"Oct 09, 2025",98.57 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 43.64
"Oct 15, 2025",98.36 ₹/L,- 1.42
"Oct 14, 2025",96.94 ₹/L,  0.00
"Oct 13, 2025",96.94 ₹/L,+ 0.22
"Oct 12, 2025",97.16 ₹/L,+ 1.20
"Oct 11, 2025",98.36 ₹/L,  0.00
"Oct 10, 2025",98.36 ₹/L,- 1.54
"Oct 09, 2025",96.82 ₹/L,+ 0.34
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 43.43
"Oct 15, 2025",98.57 ₹/L,- 0.09
"Oct 14, 2025",98.48 ₹/L,+ 0.10
"Oct 13, 2025",98.58 ₹/L,- 0.01
"Oct 12, 2025",98.57 ₹/L,- 0.09
"Oct 11, 2025",98.48 ₹/L,+ 0.09
"Oct 10, 2025",98.57 ₹/L,+ 0.01
"Oct 09, 2025",98.58 ₹/L,  0.00
