District,Petrol Price,Change
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.61
"Oct 15, 2025",102.39 ₹/L,+ 0.24
"Oct 14, 2025",102.63 ₹/L,- 0.03
"Oct 13, 2025",102.60 ₹/L,- 0.08
"Oct 12, 2025",102.52 ₹/L,  0.00
"Oct 11, 2025",102.52 ₹/L,+ 0.01
"Oct 10, 2025",102.53 ₹/L,- 0.08
"Oct 09, 2025",102.45 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.89
"Oct 15, 2025",101.11 ₹/L,  0.00
"Oct 14, 2025",101.11 ₹/L,+ 0.42
"Oct 13, 2025",101.53 ₹/L,+ 0.20
"Oct 12, 2025",101.73 ₹/L,- 0.58
"Oct 11, 2025",101.15 ₹/L,- 0.04
"Oct 10, 2025",101.11 ₹/L,+ 0.42
"Oct 09, 2025",101.53 ₹/L,+ 0.03
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.74
"Oct 15, 2025",102.26 ₹/L,- 0.49
"Oct 14, 2025",101.77 ₹/L,  0.00
"Oct 13, 2025",101.77 ₹/L,+ 0.31
"Oct 12, 2025",102.08 ₹/L,+ 0.55
"Oct 11, 2025",102.63 ₹/L,- 0.27
"Oct 10, 2025",102.36 ₹/L,- 0.10
"Oct 09, 2025",102.26 ₹/L,- 0.18
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.34
"Oct 15, 2025",101.66 ₹/L,+ 0.21
"Oct 14, 2025",101.87 ₹/L,- 0.21
"Oct 13, 2025",101.66 ₹/L,+ 0.11
"Oct 12, 2025",101.77 ₹/L,+ 0.16
"Oct 11, 2025",101.93 ₹/L,- 0.40
"Oct 10, 2025",101.53 ₹/L,+ 0.61
"Oct 09, 2025",102.14 ₹/L,- 0.27
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.35
"Oct 15, 2025",102.65 ₹/L,- 0.03
"Oct 14, 2025",102.62 ₹/L,+ 0.03
"Oct 13, 2025",102.65 ₹/L,  0.00
"Oct 12, 2025",102.65 ₹/L,- 0.02
"Oct 11, 2025",102.63 ₹/L,  0.00
"Oct 10, 2025",102.63 ₹/L,+ 0.02
"Oct 09, 2025",102.65 ₹/L,- 0.02
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.37
"Oct 15, 2025",102.63 ₹/L,- 0.01
"Oct 14, 2025",102.62 ₹/L,  0.00
"Oct 13, 2025",102.62 ₹/L,  0.00
"Oct 12, 2025",102.62 ₹/L,+ 0.01
"Oct 11, 2025",102.63 ₹/L,  0.00
"Oct 10, 2025",102.63 ₹/L,- 0.01
"Oct 09, 2025",102.62 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.54
"Oct 15, 2025",101.46 ₹/L,+ 0.02
"Oct 14, 2025",101.48 ₹/L,- 0.29
"Oct 13, 2025",101.19 ₹/L,+ 0.12
"Oct 12, 2025",101.31 ₹/L,+ 0.15
"Oct 11, 2025",101.46 ₹/L,  0.00
"Oct 10, 2025",101.46 ₹/L,- 0.27
"Oct 09, 2025",101.19 ₹/L,+ 0.01
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.71
"Oct 15, 2025",97.64 ₹/L,+ 0.05
"Oct 14, 2025",97.69 ₹/L,- 0.01
"Oct 13, 2025",97.68 ₹/L,- 0.04
"Oct 12, 2025",97.64 ₹/L,  0.00
"Oct 11, 2025",97.64 ₹/L,  0.00
"Oct 10, 2025",97.64 ₹/L,  0.00
"Oct 09, 2025",97.64 ₹/L,+ 0.34
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.09
"Oct 15, 2025",101.91 ₹/L,+ 0.41
"Oct 14, 2025",102.32 ₹/L,- 0.32
"Oct 13, 2025",102.00 ₹/L,- 0.09
"Oct 12, 2025",101.91 ₹/L,+ 0.14
"Oct 11, 2025",102.05 ₹/L,+ 0.17
"Oct 10, 2025",102.22 ₹/L,- 0.22
"Oct 09, 2025",102.00 ₹/L,+ 0.08
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.37
"Oct 15, 2025",102.63 ₹/L,  0.00
"Oct 14, 2025",102.63 ₹/L,  0.00
"Oct 13, 2025",102.63 ₹/L,  0.00
"Oct 12, 2025",102.63 ₹/L,  0.00
"Oct 11, 2025",102.63 ₹/L,  0.00
"Oct 10, 2025",102.63 ₹/L,  0.00
"Oct 09, 2025",102.63 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.42
"Oct 15, 2025",102.58 ₹/L,- 0.59
"Oct 14, 2025",101.99 ₹/L,+ 0.64
"Oct 13, 2025",102.63 ₹/L,- 0.41
"Oct 12, 2025",102.22 ₹/L,+ 0.36
"Oct 11, 2025",102.58 ₹/L,  0.00
"Oct 10, 2025",102.58 ₹/L,+ 0.05
"Oct 09, 2025",102.63 ₹/L,- 0.05
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 41.37
"Oct 15, 2025",100.63 ₹/L,+ 0.72
"Oct 14, 2025",101.35 ₹/L,- 0.72
"Oct 13, 2025",100.63 ₹/L,  0.00
"Oct 12, 2025",100.63 ₹/L,  0.00
"Oct 11, 2025",100.63 ₹/L,  0.00
"Oct 10, 2025",100.63 ₹/L,+ 0.23
"Oct 09, 2025",100.86 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.31
"Oct 15, 2025",101.69 ₹/L,+ 0.17
"Oct 14, 2025",101.86 ₹/L,- 0.17
"Oct 13, 2025",101.69 ₹/L,  0.00
"Oct 12, 2025",101.69 ₹/L,- 0.01
"Oct 11, 2025",101.68 ₹/L,- 0.03
"Oct 10, 2025",101.65 ₹/L,+ 0.04
"Oct 09, 2025",101.69 ₹/L,+ 0.11
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.82
