District,Petrol Price,Change
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 45.97
"Oct 15, 2025",96.03 ₹/L,+ 0.05
"Oct 14, 2025",96.08 ₹/L,  0.00
"Oct 13, 2025",96.08 ₹/L,- 0.05
"Oct 12, 2025",96.03 ₹/L,  0.00
"Oct 11, 2025",96.03 ₹/L,  0.00
"Oct 10, 2025",96.03 ₹/L,+ 0.05
"Oct 09, 2025",96.08 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 48.08
"Oct 15, 2025",93.92 ₹/L,  0.00
"Oct 14, 2025",93.92 ₹/L,  0.00
"Oct 13, 2025",93.92 ₹/L,  0.00
"Oct 12, 2025",93.92 ₹/L,  0.00
"Oct 11, 2025",93.92 ₹/L,  0.00
"Oct 10, 2025",93.92 ₹/L,  0.00
"Oct 09, 2025",93.92 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 45.61
"Oct 15, 2025",96.39 ₹/L,- 0.07
"Oct 14, 2025",96.32 ₹/L,- 0.06
"Oct 13, 2025",96.26 ₹/L,+ 0.13
"Oct 12, 2025",96.39 ₹/L,  0.00
"Oct 11, 2025",96.39 ₹/L,  0.00
"Oct 10, 2025",96.39 ₹/L,- 0.13
"Oct 09, 2025",96.26 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 45.08
"Oct 15, 2025",96.92 ₹/L,  0.00
"Oct 14, 2025",96.92 ₹/L,  0.00
"Oct 13, 2025",96.92 ₹/L,  0.00
"Oct 12, 2025",96.92 ₹/L,  0.00
"Oct 11, 2025",96.92 ₹/L,  0.00
"Oct 10, 2025",96.92 ₹/L,  0.00
"Oct 09, 2025",96.92 ₹/L,  0.00
