District,Petrol Price,Change
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 43.94
"Oct 15, 2025",98.06 ₹/L,+ 0.22
"Oct 14, 2025",98.28 ₹/L,+ 0.02
"Oct 13, 2025",98.30 ₹/L,- 0.02
"Oct 12, 2025",98.28 ₹/L,+ 0.05
"Oct 11, 2025",98.33 ₹/L,- 0.05
"Oct 10, 2025",98.28 ₹/L,  0.00
"Oct 09, 2025",98.28 ₹/L,- 0.13
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 44.35
"Oct 15, 2025",97.65 ₹/L,  0.00
"Oct 14, 2025",97.65 ₹/L,  0.00
"Oct 13, 2025",97.65 ₹/L,- 0.24
"Oct 12, 2025",97.41 ₹/L,+ 0.24
"Oct 11, 2025",97.65 ₹/L,  0.00
"Oct 10, 2025",97.65 ₹/L,+ 0.24
"Oct 09, 2025",97.89 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 44.57
"Oct 15, 2025",97.43 ₹/L,+ 0.41
"Oct 14, 2025",97.84 ₹/L,- 0.41
"Oct 13, 2025",97.43 ₹/L,+ 0.03
"Oct 12, 2025",97.46 ₹/L,+ 0.43
"Oct 11, 2025",97.89 ₹/L,- 0.19
"Oct 10, 2025",97.70 ₹/L,- 0.24
"Oct 09, 2025",97.46 ₹/L,+ 0.06
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 44.01
"Oct 15, 2025",97.99 ₹/L,+ 0.08
"Oct 14, 2025",98.07 ₹/L,  0.00
"Oct 13, 2025",98.07 ₹/L,- 0.34
"Oct 12, 2025",97.73 ₹/L,- 0.01
"Oct 11, 2025",97.72 ₹/L,+ 0.05
"Oct 10, 2025",97.77 ₹/L,+ 0.30
"Oct 09, 2025",98.07 ₹/L,+ 0.13
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 44.00
"Oct 15, 2025",98.00 ₹/L,+ 0.17
"Oct 14, 2025",98.17 ₹/L,  0.00
"Oct 13, 2025",98.17 ₹/L,- 0.04
"Oct 12, 2025",98.13 ₹/L,+ 0.14
"Oct 11, 2025",98.27 ₹/L,- 0.27
"Oct 10, 2025",98.00 ₹/L,+ 0.26
"Oct 09, 2025",98.26 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 44.07
"Oct 15, 2025",97.93 ₹/L,+ 0.30
"Oct 14, 2025",98.23 ₹/L,+ 0.14
"Oct 13, 2025",98.37 ₹/L,- 0.06
"Oct 12, 2025",98.31 ₹/L,- 0.33
"Oct 11, 2025",97.98 ₹/L,+ 0.16
"Oct 10, 2025",98.14 ₹/L,+ 0.24
"Oct 09, 2025",98.38 ₹/L,- 0.06
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 43.80
"Oct 15, 2025",98.20 ₹/L,+ 0.16
"Oct 14, 2025",98.36 ₹/L,+ 0.05
"Oct 13, 2025",98.41 ₹/L,- 0.05
"Oct 12, 2025",98.36 ₹/L,+ 0.03
"Oct 11, 2025",98.39 ₹/L,- 0.33
"Oct 10, 2025",98.06 ₹/L,+ 0.01
"Oct 09, 2025",98.07 ₹/L,+ 0.29
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 43.55
"Oct 15, 2025",98.45 ₹/L,- 0.22
"Oct 14, 2025",98.23 ₹/L,  0.00
"Oct 13, 2025",98.23 ₹/L,  0.00
"Oct 12, 2025",98.23 ₹/L,+ 0.22
"Oct 11, 2025",98.45 ₹/L,- 0.11
"Oct 10, 2025",98.34 ₹/L,- 0.15
"Oct 09, 2025",98.19 ₹/L,+ 0.04
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 44.21
"Oct 15, 2025",97.79 ₹/L,  0.00
"Oct 14, 2025",97.79 ₹/L,+ 0.16
"Oct 13, 2025",97.95 ₹/L,  0.00
"Oct 12, 2025",97.95 ₹/L,- 0.17
"Oct 11, 2025",97.78 ₹/L,+ 0.08
"Oct 10, 2025",97.86 ₹/L,+ 0.09
"Oct 09, 2025",97.95 ₹/L,- 0.28
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 44.29
"Oct 15, 2025",97.71 ₹/L,- 0.24
"Oct 14, 2025",97.47 ₹/L,+ 0.08
"Oct 13, 2025",97.55 ₹/L,- 0.12
"Oct 12, 2025",97.43 ₹/L,+ 0.06
"Oct 11, 2025",97.49 ₹/L,+ 0.06
"Oct 10, 2025",97.55 ₹/L,+ 0.23
"Oct 09, 2025",97.78 ₹/L,- 0.35
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 44.33
"Oct 15, 2025",97.67 ₹/L,- 0.20
"Oct 14, 2025",97.47 ₹/L,+ 0.03
"Oct 13, 2025",97.50 ₹/L,  0.00
"Oct 12, 2025",97.50 ₹/L,+ 0.17
"Oct 11, 2025",97.67 ₹/L,- 0.10
"Oct 10, 2025",97.57 ₹/L,- 0.07
"Oct 09, 2025",97.50 ₹/L,- 0.03
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 43.70
"Oct 15, 2025",98.30 ₹/L,- 0.24
"Oct 14, 2025",98.06 ₹/L,+ 0.24
"Oct 13, 2025",98.30 ₹/L,- 0.14
"Oct 12, 2025",98.16 ₹/L,- 0.09
"Oct 11, 2025",98.07 ₹/L,+ 0.23
"Oct 10, 2025",98.30 ₹/L,  0.00
"Oct 09, 2025",98.30 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 44.06
"Oct 15, 2025",97.94 ₹/L,- 0.14
"Oct 14, 2025",97.80 ₹/L,+ 0.12
"Oct 13, 2025",97.92 ₹/L,- 0.24
"Oct 12, 2025",97.68 ₹/L,+ 0.09
"Oct 11, 2025",97.77 ₹/L,+ 0.15
"Oct 10, 2025",97.92 ₹/L,- 0.04
"Oct 09, 2025",97.88 ₹/L,- 0.35
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
