District,Petrol Price,Change
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 38.70
"Oct 15, 2025",103.30 ₹/L,  0.00
"Oct 14, 2025",103.30 ₹/L,  0.00
"Oct 13, 2025",103.30 ₹/L,  0.00
"Oct 12, 2025",103.30 ₹/L,  0.00
"Oct 11, 2025",103.30 ₹/L,  0.00
"Oct 10, 2025",103.30 ₹/L,  0.00
"Oct 09, 2025",103.30 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 38.70
"Oct 15, 2025",103.30 ₹/L,  0.00
"Oct 14, 2025",103.30 ₹/L,  0.00
"Oct 13, 2025",103.30 ₹/L,  0.00
"Oct 12, 2025",103.30 ₹/L,  0.00
"Oct 11, 2025",103.30 ₹/L,  0.00
"Oct 10, 2025",103.30 ₹/L,  0.00
"Oct 09, 2025",103.30 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 38.70
"Oct 15, 2025",103.30 ₹/L,  0.00
"Oct 14, 2025",103.30 ₹/L,  0.00
"Oct 13, 2025",103.30 ₹/L,  0.00
"Oct 12, 2025",103.30 ₹/L,  0.00
"Oct 11, 2025",103.30 ₹/L,  0.00
"Oct 10, 2025",103.30 ₹/L,  0.00
"Oct 09, 2025",103.30 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 38.70
"Oct 15, 2025",103.30 ₹/L,  0.00
"Oct 14, 2025",103.30 ₹/L,  0.00
"Oct 13, 2025",103.30 ₹/L,  0.00
"Oct 12, 2025",103.30 ₹/L,  0.00
"Oct 11, 2025",103.30 ₹/L,  0.00
"Oct 10, 2025",103.30 ₹/L,  0.00
"Oct 09, 2025",103.30 ₹/L,  0.00
