District,Petrol Price,Change
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.95
"Oct 15, 2025",102.05 ₹/L,- 0.05
"Oct 14, 2025",102.00 ₹/L,- 0.25
"Oct 13, 2025",101.75 ₹/L,+ 0.06
"Oct 12, 2025",101.81 ₹/L,  0.00
"Oct 11, 2025",101.81 ₹/L,+ 0.36
"Oct 10, 2025",102.17 ₹/L,- 0.42
"Oct 09, 2025",101.75 ₹/L,+ 0.06
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 41.20
"Oct 15, 2025",100.80 ₹/L,+ 0.10
"Oct 14, 2025",100.90 ₹/L,  0.00
"Oct 13, 2025",100.90 ₹/L,- 0.10
"Oct 12, 2025",100.80 ₹/L,+ 0.10
"Oct 11, 2025",100.90 ₹/L,  0.00
"Oct 10, 2025",100.90 ₹/L,  0.00
"Oct 09, 2025",100.90 ₹/L,- 0.10
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.62
"Oct 15, 2025",101.38 ₹/L,- 0.15
"Oct 14, 2025",101.23 ₹/L,+ 0.06
"Oct 13, 2025",101.29 ₹/L,+ 0.31
"Oct 12, 2025",101.60 ₹/L,- 0.37
"Oct 11, 2025",101.23 ₹/L,+ 0.15
"Oct 10, 2025",101.38 ₹/L,- 0.09
"Oct 09, 2025",101.29 ₹/L,+ 0.19
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.20
"Oct 15, 2025",102.80 ₹/L,  0.00
"Oct 14, 2025",102.80 ₹/L,  0.00
"Oct 13, 2025",102.80 ₹/L,- 0.62
"Oct 12, 2025",102.18 ₹/L,+ 0.62
"Oct 11, 2025",102.80 ₹/L,  0.00
"Oct 10, 2025",102.80 ₹/L,  0.00
"Oct 09, 2025",102.80 ₹/L,- 0.62
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.87
"Oct 15, 2025",102.13 ₹/L,  0.00
"Oct 14, 2025",102.13 ₹/L,- 0.18
"Oct 13, 2025",101.95 ₹/L,+ 0.18
"Oct 12, 2025",102.13 ₹/L,  0.00
"Oct 11, 2025",102.13 ₹/L,  0.00
"Oct 10, 2025",102.13 ₹/L,+ 0.10
"Oct 09, 2025",102.23 ₹/L,- 0.30
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.41
"Oct 15, 2025",101.59 ₹/L,+ 0.19
"Oct 14, 2025",101.78 ₹/L,- 0.32
"Oct 13, 2025",101.46 ₹/L,+ 0.63
"Oct 12, 2025",102.09 ₹/L,- 0.26
"Oct 11, 2025",101.83 ₹/L,- 0.05
"Oct 10, 2025",101.78 ₹/L,- 0.14
"Oct 09, 2025",101.64 ₹/L,+ 0.19
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.56
"Oct 15, 2025",101.44 ₹/L,- 0.01
"Oct 14, 2025",101.43 ₹/L,+ 0.10
"Oct 13, 2025",101.53 ₹/L,- 0.15
"Oct 12, 2025",101.38 ₹/L,+ 0.15
"Oct 11, 2025",101.53 ₹/L,- 0.09
"Oct 10, 2025",101.44 ₹/L,- 0.06
"Oct 09, 2025",101.38 ₹/L,+ 0.17
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.83
"Oct 15, 2025",101.17 ₹/L,+ 0.05
"Oct 14, 2025",101.22 ₹/L,- 0.05
"Oct 13, 2025",101.17 ₹/L,+ 0.24
"Oct 12, 2025",101.41 ₹/L,+ 0.13
"Oct 11, 2025",101.54 ₹/L,- 0.37
"Oct 10, 2025",101.17 ₹/L,  0.00
"Oct 09, 2025",101.17 ₹/L,+ 0.24
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.96
"Oct 15, 2025",102.04 ₹/L,- 0.01
"Oct 14, 2025",102.03 ₹/L,+ 0.09
"Oct 13, 2025",102.12 ₹/L,- 0.32
"Oct 12, 2025",101.80 ₹/L,+ 0.12
"Oct 11, 2025",101.92 ₹/L,+ 0.12
"Oct 10, 2025",102.04 ₹/L,+ 0.08
"Oct 09, 2025",102.12 ₹/L,- 0.52
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.77
"Oct 15, 2025",101.23 ₹/L,- 0.14
"Oct 14, 2025",101.09 ₹/L,+ 0.40
"Oct 13, 2025",101.49 ₹/L,+ 0.06
"Oct 12, 2025",101.55 ₹/L,- 0.46
"Oct 11, 2025",101.09 ₹/L,+ 0.14
"Oct 10, 2025",101.23 ₹/L,+ 0.26
"Oct 09, 2025",101.49 ₹/L,+ 0.06
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.49
"Oct 15, 2025",102.51 ₹/L,+ 0.29
"Oct 14, 2025",102.80 ₹/L,- 0.14
"Oct 13, 2025",102.66 ₹/L,+ 0.05
"Oct 12, 2025",102.71 ₹/L,+ 0.09
"Oct 11, 2025",102.80 ₹/L,  0.00
"Oct 10, 2025",102.80 ₹/L,- 0.14
"Oct 09, 2025",102.66 ₹/L,- 0.15
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.49
"Oct 15, 2025",101.51 ₹/L,+ 0.05
"Oct 14, 2025",101.56 ₹/L,- 0.05
"Oct 13, 2025",101.51 ₹/L,- 0.13
"Oct 12, 2025",101.38 ₹/L,+ 0.13
"Oct 11, 2025",101.51 ₹/L,  0.00
"Oct 10, 2025",101.51 ₹/L,  0.00
"Oct 09, 2025",101.51 ₹/L,+ 0.05
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.75
"Oct 15, 2025",102.25 ₹/L,+ 0.16
"Oct 14, 2025",102.41 ₹/L,  0.00
"Oct 13, 2025",102.41 ₹/L,- 0.16
"Oct 12, 2025",102.25 ₹/L,+ 0.07
"Oct 11, 2025",102.32 ₹/L,- 0.07
"Oct 10, 2025",102.25 ₹/L,+ 0.04
"Oct 09, 2025",102.29 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.50
