District,Petrol Price,Change
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 33.17
"Oct 15, 2025",108.83 ₹/L,+ 0.03
"Oct 14, 2025",108.86 ₹/L,- 0.03
"Oct 13, 2025",108.83 ₹/L,+ 0.03
"Oct 12, 2025",108.86 ₹/L,- 0.04
"Oct 11, 2025",108.82 ₹/L,+ 0.01
"Oct 10, 2025",108.83 ₹/L,  0.00
"Oct 09, 2025",108.83 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 33.50
"Oct 15, 2025",108.50 ₹/L,- 0.20
"Oct 14, 2025",108.30 ₹/L,- 0.31
"Oct 13, 2025",107.99 ₹/L,+ 0.37
"Oct 12, 2025",108.36 ₹/L,+ 0.47
"Oct 11, 2025",108.83 ₹/L,  0.00
"Oct 10, 2025",108.83 ₹/L,- 0.84
"Oct 09, 2025",107.99 ₹/L,+ 0.51
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.54
"Oct 15, 2025",107.46 ₹/L,  0.00
"Oct 14, 2025",107.46 ₹/L,  0.00
"Oct 13, 2025",107.46 ₹/L,  0.00
"Oct 12, 2025",107.46 ₹/L,  0.00
"Oct 11, 2025",107.46 ₹/L,  0.00
"Oct 10, 2025",107.46 ₹/L,  0.00
"Oct 09, 2025",107.46 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 33.85
"Oct 15, 2025",108.15 ₹/L,+ 0.24
"Oct 14, 2025",108.39 ₹/L,- 0.21
"Oct 13, 2025",108.18 ₹/L,+ 0.21
"Oct 12, 2025",108.39 ₹/L,- 0.03
"Oct 11, 2025",108.36 ₹/L,+ 0.04
"Oct 10, 2025",108.40 ₹/L,- 0.22
"Oct 09, 2025",108.18 ₹/L,+ 0.08
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.59
"Oct 15, 2025",107.41 ₹/L,  0.00
"Oct 14, 2025",107.41 ₹/L,  0.00
"Oct 13, 2025",107.41 ₹/L,+ 0.38
"Oct 12, 2025",107.79 ₹/L,- 0.20
"Oct 11, 2025",107.59 ₹/L,+ 0.20
"Oct 10, 2025",107.79 ₹/L,- 0.38
"Oct 09, 2025",107.41 ₹/L,- 0.19
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.53
"Oct 15, 2025",107.47 ₹/L,- 0.10
"Oct 14, 2025",107.37 ₹/L,+ 0.16
"Oct 13, 2025",107.53 ₹/L,+ 0.37
"Oct 12, 2025",107.90 ₹/L,- 0.43
"Oct 11, 2025",107.47 ₹/L,  0.00
"Oct 10, 2025",107.47 ₹/L,+ 0.06
"Oct 09, 2025",107.53 ₹/L,- 0.40
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 33.17
"Oct 15, 2025",108.83 ₹/L,  0.00
"Oct 14, 2025",108.83 ₹/L,  0.00
"Oct 13, 2025",108.83 ₹/L,  0.00
"Oct 12, 2025",108.83 ₹/L,  0.00
"Oct 11, 2025",108.83 ₹/L,  0.00
"Oct 10, 2025",108.83 ₹/L,  0.00
"Oct 09, 2025",108.83 ₹/L,- 0.01
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 33.48
"Oct 15, 2025",108.52 ₹/L,  0.00
"Oct 14, 2025",108.52 ₹/L,- 0.22
"Oct 13, 2025",108.30 ₹/L,+ 0.33
"Oct 12, 2025",108.63 ₹/L,- 0.11
"Oct 11, 2025",108.52 ₹/L,+ 0.31
"Oct 10, 2025",108.83 ₹/L,- 0.53
"Oct 09, 2025",108.30 ₹/L,+ 0.33
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.25
"Oct 15, 2025",107.75 ₹/L,  0.00
"Oct 14, 2025",107.75 ₹/L,- 0.48
"Oct 13, 2025",107.27 ₹/L,  0.00
"Oct 12, 2025",107.27 ₹/L,- 0.14
"Oct 11, 2025",107.13 ₹/L,+ 0.44
"Oct 10, 2025",107.57 ₹/L,- 0.30
"Oct 09, 2025",107.27 ₹/L,+ 0.48
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.52
"Oct 15, 2025",107.48 ₹/L,  0.00
"Oct 14, 2025",107.48 ₹/L,- 0.17
"Oct 13, 2025",107.31 ₹/L,+ 0.17
"Oct 12, 2025",107.48 ₹/L,+ 0.52
"Oct 11, 2025",108.00 ₹/L,- 0.27
"Oct 10, 2025",107.73 ₹/L,- 0.06
"Oct 09, 2025",107.67 ₹/L,+ 0.22
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 33.17
"Oct 15, 2025",108.83 ₹/L,  0.00
"Oct 14, 2025",108.83 ₹/L,  0.00
"Oct 13, 2025",108.83 ₹/L,  0.00
"Oct 12, 2025",108.83 ₹/L,- 0.01
"Oct 11, 2025",108.82 ₹/L,+ 0.01
"Oct 10, 2025",108.83 ₹/L,  0.00
"Oct 09, 2025",108.83 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.71
"Oct 15, 2025",107.29 ₹/L,+ 0.23
"Oct 14, 2025",107.52 ₹/L,- 0.25
"Oct 13, 2025",107.27 ₹/L,  0.00
"Oct 12, 2025",107.27 ₹/L,  0.00
"Oct 11, 2025",107.27 ₹/L,  0.00
"Oct 10, 2025",107.27 ₹/L,+ 0.55
"Oct 09, 2025",107.82 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 33.24
"Oct 15, 2025",108.76 ₹/L,- 0.01
"Oct 14, 2025",108.75 ₹/L,- 0.05
"Oct 13, 2025",108.70 ₹/L,+ 0.05
"Oct 12, 2025",108.75 ₹/L,- 0.15
"Oct 11, 2025",108.60 ₹/L,- 0.10
"Oct 10, 2025",108.50 ₹/L,+ 0.20
"Oct 09, 2025",108.70 ₹/L,- 0.25
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.24
"Oct 15, 2025",107.76 ₹/L,+ 0.04
