District,Petrol Price,Change
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 45.30
"Oct 15, 2025",96.70 ₹/L,+ 0.32
"Oct 14, 2025",97.02 ₹/L,  0.00
"Oct 13, 2025",97.02 ₹/L,  0.00
"Oct 12, 2025",97.02 ₹/L,- 0.52
"Oct 11, 2025",96.50 ₹/L,+ 0.20
"Oct 10, 2025",96.70 ₹/L,- 0.42
"Oct 09, 2025",96.28 ₹/L,+ 0.74
"Oct 08, 2025",97.02 ₹/L,- 0.32
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 44.03
"Oct 15, 2025",97.97 ₹/L,  0.00
"Oct 14, 2025",97.97 ₹/L,  0.00
"Oct 13, 2025",97.97 ₹/L,  0.00
"Oct 12, 2025",97.97 ₹/L,  0.00
"Oct 11, 2025",97.97 ₹/L,  0.00
"Oct 10, 2025",97.97 ₹/L,  0.00
"Oct 09, 2025",97.97 ₹/L,  0.00
"Oct 08, 2025",97.97 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 44.90
"Oct 15, 2025",97.10 ₹/L,  0.00
"Oct 14, 2025",97.10 ₹/L,+ 0.15
"Oct 13, 2025",97.25 ₹/L,- 0.15
"Oct 12, 2025",97.10 ₹/L,  0.00
"Oct 11, 2025",97.10 ₹/L,  0.00
"Oct 10, 2025",97.10 ₹/L,+ 0.15
"Oct 09, 2025",97.25 ₹/L,  0.00
"Oct 08, 2025",97.25 ₹/L,- 0.15
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 45.73
"Oct 15, 2025",96.27 ₹/L,  0.00
"Oct 14, 2025",96.27 ₹/L,  0.00
"Oct 13, 2025",96.27 ₹/L,  0.00
"Oct 12, 2025",96.27 ₹/L,  0.00
"Oct 11, 2025",96.27 ₹/L,  0.00
"Oct 10, 2025",96.27 ₹/L,- 0.30
"Oct 09, 2025",95.97 ₹/L,+ 0.30
"Oct 08, 2025",96.27 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 44.17
"Oct 15, 2025",97.83 ₹/L,  0.00
"Oct 14, 2025",97.83 ₹/L,- 0.31
"Oct 13, 2025",97.52 ₹/L,+ 0.17
"Oct 12, 2025",97.69 ₹/L,+ 0.28
"Oct 11, 2025",97.97 ₹/L,- 0.14
"Oct 10, 2025",97.83 ₹/L,- 0.31
"Oct 09, 2025",97.52 ₹/L,+ 0.17
"Oct 08, 2025",97.69 ₹/L,+ 0.14
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 44.03
"Oct 15, 2025",97.97 ₹/L,  0.00
"Oct 14, 2025",97.97 ₹/L,  0.00
"Oct 13, 2025",97.97 ₹/L,  0.00
"Oct 12, 2025",97.97 ₹/L,  0.00
"Oct 11, 2025",97.97 ₹/L,  0.00
"Oct 10, 2025",97.97 ₹/L,  0.00
"Oct 09, 2025",97.97 ₹/L,  0.00
"Oct 08, 2025",97.97 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 45.92
"Oct 15, 2025",96.08 ₹/L,  0.00
"Oct 14, 2025",96.08 ₹/L,  0.00
"Oct 13, 2025",96.08 ₹/L,  0.00
"Oct 12, 2025",96.08 ₹/L,  0.00
"Oct 11, 2025",96.08 ₹/L,  0.00
"Oct 10, 2025",96.08 ₹/L,  0.00
"Oct 09, 2025",96.08 ₹/L,  0.00
"Oct 08, 2025",96.08 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",97.53 ₹/L,+ 0.04
"Oct 14, 2025",97.57 ₹/L,- 0.04
"Oct 13, 2025",97.53 ₹/L,  0.00
"Oct 12, 2025",97.53 ₹/L,  0.00
"Oct 11, 2025",97.53 ₹/L,  0.00
"Oct 10, 2025",97.53 ₹/L,  0.00
"Oct 09, 2025",97.53 ₹/L,  0.00
"Oct 08, 2025",97.53 ₹/L,  0.00
"Oct 07, 2025",97.53 ₹/L,+ 0.04
