District,Petrol Price,Change
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.42 ₹/L,+ 0.22
"Oct 14, 2025",94.64 ₹/L,- 0.13
"Oct 13, 2025",94.51 ₹/L,+ 0.06
"Oct 12, 2025",94.57 ₹/L,- 0.09
"Oct 11, 2025",94.48 ₹/L,+ 0.13
"Oct 10, 2025",94.61 ₹/L,+ 0.18
"Oct 09, 2025",94.79 ₹/L,- 0.24
"Oct 08, 2025",94.55 ₹/L,+ 0.09
"Oct 07, 2025",94.64 ₹/L,- 0.13
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.82 ₹/L,  0.00
"Oct 14, 2025",94.82 ₹/L,+ 0.17
"Oct 13, 2025",94.99 ₹/L,- 0.17
"Oct 12, 2025",94.82 ₹/L,+ 0.23
"Oct 11, 2025",95.05 ₹/L,- 0.23
"Oct 10, 2025",94.82 ₹/L,+ 0.17
"Oct 09, 2025",94.99 ₹/L,- 0.17
"Oct 08, 2025",94.82 ₹/L,+ 0.11
"Oct 07, 2025",94.93 ₹/L,- 0.11
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.80 ₹/L,- 0.57
"Oct 14, 2025",95.23 ₹/L,+ 0.10
"Oct 13, 2025",95.33 ₹/L,+ 0.38
"Oct 12, 2025",95.71 ₹/L,- 1.05
"Oct 11, 2025",94.66 ₹/L,+ 0.67
"Oct 10, 2025",95.33 ₹/L,+ 0.25
"Oct 09, 2025",95.58 ₹/L,- 0.35
"Oct 08, 2025",95.23 ₹/L,+ 0.30
"Oct 07, 2025",95.53 ₹/L,- 0.20
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.60 ₹/L,- 0.04
"Oct 14, 2025",95.56 ₹/L,- 0.11
"Oct 13, 2025",95.45 ₹/L,+ 0.17
"Oct 12, 2025",95.62 ₹/L,- 0.28
"Oct 11, 2025",95.34 ₹/L,+ 0.26
"Oct 10, 2025",95.60 ₹/L,- 0.29
"Oct 09, 2025",95.31 ₹/L,+ 0.12
"Oct 08, 2025",95.43 ₹/L,- 0.12
"Oct 07, 2025",95.31 ₹/L,- 0.03
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.50 ₹/L,+ 0.23
"Oct 14, 2025",95.73 ₹/L,- 0.64
"Oct 13, 2025",95.09 ₹/L,  0.00
"Oct 12, 2025",95.09 ₹/L,+ 0.72
"Oct 11, 2025",95.81 ₹/L,- 0.31
"Oct 10, 2025",95.50 ₹/L,  0.00
"Oct 09, 2025",95.50 ₹/L,+ 0.23
"Oct 08, 2025",95.73 ₹/L,- 0.34
"Oct 07, 2025",95.39 ₹/L,- 0.23
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.01 ₹/L,+ 0.16
"Oct 14, 2025",95.17 ₹/L,+ 0.18
"Oct 13, 2025",95.35 ₹/L,- 0.45
"Oct 12, 2025",94.90 ₹/L,+ 0.14
"Oct 11, 2025",95.04 ₹/L,+ 0.11
"Oct 10, 2025",95.15 ₹/L,+ 0.20
"Oct 09, 2025",95.35 ₹/L,- 0.42
"Oct 08, 2025",94.93 ₹/L,+ 0.22
"Oct 07, 2025",95.15 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.02 ₹/L,+ 0.23
"Oct 14, 2025",95.25 ₹/L,+ 0.05
"Oct 13, 2025",95.30 ₹/L,- 0.05
"Oct 12, 2025",95.25 ₹/L,- 0.23
"Oct 11, 2025",95.02 ₹/L,  0.00
"Oct 10, 2025",95.02 ₹/L,+ 0.12
"Oct 09, 2025",95.14 ₹/L,+ 0.05
"Oct 08, 2025",95.19 ₹/L,- 0.17
"Oct 07, 2025",95.02 ₹/L,+ 0.12
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.32 ₹/L,+ 0.62
"Oct 14, 2025",95.94 ₹/L,- 0.48
"Oct 13, 2025",95.46 ₹/L,+ 0.39
"Oct 12, 2025",95.85 ₹/L,- 0.08
"Oct 11, 2025",95.77 ₹/L,+ 0.04
"Oct 10, 2025",95.81 ₹/L,- 0.13
"Oct 09, 2025",95.68 ₹/L,+ 0.28
"Oct 08, 2025",95.96 ₹/L,- 0.42
"Oct 07, 2025",95.54 ₹/L,+ 0.46
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.78 ₹/L,+ 0.04
"Oct 14, 2025",94.82 ₹/L,- 0.02
"Oct 13, 2025",94.80 ₹/L,- 0.02
"Oct 12, 2025",94.78 ₹/L,- 0.02
"Oct 11, 2025",94.76 ₹/L,+ 0.02
"Oct 10, 2025",94.78 ₹/L,+ 0.02
"Oct 09, 2025",94.80 ₹/L,+ 0.02
"Oct 08, 2025",94.82 ₹/L,- 0.20
"Oct 07, 2025",94.62 ₹/L,+ 0.18
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.16 ₹/L,+ 0.65
"Oct 14, 2025",95.81 ₹/L,+ 0.32
"Oct 13, 2025",96.13 ₹/L,- 0.32
"Oct 12, 2025",95.81 ₹/L,- 0.80
"Oct 11, 2025",95.01 ₹/L,+ 1.12
"Oct 10, 2025",96.13 ₹/L,- 1.07
"Oct 09, 2025",95.06 ₹/L,- 0.13
"Oct 08, 2025",94.93 ₹/L,+ 0.82
"Oct 07, 2025",95.75 ₹/L,- 0.57
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",96.18 ₹/L,- 0.42
"Oct 14, 2025",95.76 ₹/L,- 0.03
"Oct 13, 2025",95.73 ₹/L,+ 0.27
"Oct 12, 2025",96.00 ₹/L,- 0.05
"Oct 11, 2025",95.95 ₹/L,+ 0.23
"Oct 10, 2025",96.18 ₹/L,- 0.45
"Oct 09, 2025",95.73 ₹/L,+ 0.10
"Oct 08, 2025",95.83 ₹/L,- 0.34
"Oct 07, 2025",95.49 ₹/L,+ 0.24
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",101.11 ₹/L,  0.00
"Oct 14, 2025",101.11 ₹/L,  0.00
"Oct 13, 2025",101.11 ₹/L,- 0.23
"Oct 12, 2025",100.88 ₹/L,+ 0.20
"Oct 11, 2025",101.08 ₹/L,+ 0.03
"Oct 10, 2025",101.11 ₹/L,  0.00
"Oct 09, 2025",101.11 ₹/L,  0.00
"Oct 08, 2025",101.11 ₹/L,  NA
"Oct 07, 2025",95.03 ₹/L,+ 0.10
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.55 ₹/L,- 0.14
"Oct 14, 2025",95.41 ₹/L,+ 0.49
"Oct 13, 2025",95.90 ₹/L,+ 0.04
"Oct 12, 2025",95.94 ₹/L,- 0.26
"Oct 11, 2025",95.68 ₹/L,- 0.13
"Oct 10, 2025",95.55 ₹/L,+ 0.35
"Oct 09, 2025",95.90 ₹/L,- 0.07
"Oct 08, 2025",95.83 ₹/L,- 0.28
"Oct 07, 2025",95.55 ₹/L,+ 0.35
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.90 ₹/L,+ 0.21
"Oct 14, 2025",95.11 ₹/L,- 0.25
"Oct 13, 2025",94.86 ₹/L,- 0.08
"Oct 12, 2025",94.78 ₹/L,- 0.06
"Oct 11, 2025",94.72 ₹/L,+ 0.18
"Oct 10, 2025",94.90 ₹/L,+ 0.08
"Oct 09, 2025",94.98 ₹/L,- 0.26
"Oct 08, 2025",94.72 ₹/L,+ 0.22
"Oct 07, 2025",94.94 ₹/L,- 0.08
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.43 ₹/L,+ 0.63
"Oct 14, 2025",95.06 ₹/L,  0.00
"Oct 13, 2025",95.06 ₹/L,- 0.24
"Oct 12, 2025",94.82 ₹/L,- 0.02
"Oct 11, 2025",94.80 ₹/L,- 0.37
"Oct 10, 2025",94.43 ₹/L,+ 0.23
"Oct 09, 2025",94.66 ₹/L,+ 0.40
"Oct 08, 2025",95.06 ₹/L,- 0.63
"Oct 07, 2025",94.43 ₹/L,+ 0.23
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.05 ₹/L,+ 0.31
"Oct 14, 2025",95.36 ₹/L,- 0.01
"Oct 13, 2025",95.35 ₹/L,- 0.18
"Oct 12, 2025",95.17 ₹/L,+ 0.18
"Oct 11, 2025",95.35 ₹/L,  0.00
"Oct 10, 2025",95.35 ₹/L,- 0.03
"Oct 09, 2025",95.32 ₹/L,- 0.17
"Oct 08, 2025",95.15 ₹/L,+ 0.10
