District,Petrol Price,Change
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",93.78 ₹/L,+ 0.02
"Oct 14, 2025",93.80 ₹/L,  0.00
"Oct 13, 2025",93.80 ₹/L,- 0.02
"Oct 12, 2025",93.78 ₹/L,+ 0.02
"Oct 11, 2025",93.80 ₹/L,- 0.02
"Oct 10, 2025",93.78 ₹/L,+ 0.84
"Oct 09, 2025",94.62 ₹/L,- 0.84
"Oct 08, 2025",93.78 ₹/L,  0.00
"Oct 07, 2025",93.78 ₹/L,+ 0.84
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.07 ₹/L,  0.00
"Oct 14, 2025",94.07 ₹/L,  0.00
"Oct 13, 2025",94.07 ₹/L,  0.00
"Oct 12, 2025",94.07 ₹/L,  0.00
"Oct 11, 2025",94.07 ₹/L,  0.00
"Oct 10, 2025",94.07 ₹/L,  0.00
"Oct 09, 2025",94.07 ₹/L,  0.00
"Oct 08, 2025",94.07 ₹/L,  0.00
"Oct 07, 2025",94.07 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.62 ₹/L,- 0.05
"Oct 14, 2025",94.57 ₹/L,+ 0.05
"Oct 13, 2025",94.62 ₹/L,  0.00
"Oct 12, 2025",94.62 ₹/L,- 0.05
"Oct 11, 2025",94.57 ₹/L,+ 0.05
"Oct 10, 2025",94.62 ₹/L,  0.00
"Oct 09, 2025",94.62 ₹/L,  0.00
"Oct 08, 2025",94.62 ₹/L,  0.00
"Oct 07, 2025",94.62 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",93.45 ₹/L,+ 1.17
"Oct 14, 2025",94.62 ₹/L,- 1.17
"Oct 13, 2025",93.45 ₹/L,  0.00
"Oct 12, 2025",93.45 ₹/L,  0.00
"Oct 11, 2025",93.45 ₹/L,  0.00
"Oct 10, 2025",93.45 ₹/L,  0.00
"Oct 09, 2025",93.45 ₹/L,  0.00
"Oct 08, 2025",93.45 ₹/L,  0.00
"Oct 07, 2025",93.45 ₹/L,+ 1.17
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",93.49 ₹/L,+ 0.01
"Oct 14, 2025",93.50 ₹/L,  0.00
"Oct 13, 2025",93.50 ₹/L,- 0.01
"Oct 12, 2025",93.49 ₹/L,+ 0.02
"Oct 11, 2025",93.51 ₹/L,- 0.02
"Oct 10, 2025",93.49 ₹/L,- 0.23
"Oct 09, 2025",93.26 ₹/L,+ 0.25
"Oct 08, 2025",93.51 ₹/L,- 0.14
"Oct 07, 2025",93.37 ₹/L,+ 0.12
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",92.74 ₹/L,+ 0.04
"Oct 14, 2025",92.78 ₹/L,- 0.13
"Oct 13, 2025",92.65 ₹/L,+ 0.04
"Oct 12, 2025",92.69 ₹/L,+ 0.03
"Oct 11, 2025",92.72 ₹/L,+ 0.05
"Oct 10, 2025",92.77 ₹/L,- 0.12
"Oct 09, 2025",92.65 ₹/L,+ 0.04
"Oct 08, 2025",92.69 ₹/L,+ 0.08
"Oct 07, 2025",92.77 ₹/L,- 0.12
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",93.10 ₹/L,+ 0.10
"Oct 14, 2025",93.20 ₹/L,- 0.46
"Oct 13, 2025",92.74 ₹/L,  0.00
"Oct 12, 2025",92.74 ₹/L,  0.00
"Oct 11, 2025",92.74 ₹/L,+ 0.36
"Oct 10, 2025",93.10 ₹/L,- 0.36
"Oct 09, 2025",92.74 ₹/L,  0.00
"Oct 08, 2025",92.74 ₹/L,+ 0.36
"Oct 07, 2025",93.10 ₹/L,- 0.33
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",93.52 ₹/L,+ 0.62
"Oct 14, 2025",94.14 ₹/L,- 0.83
"Oct 13, 2025",93.31 ₹/L,  0.00
