District,Petrol Price,Change
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",106.64 ₹/L,+ 0.08
"Oct 14, 2025",106.72 ₹/L,  0.00
"Oct 13, 2025",106.72 ₹/L,- 0.08
"Oct 12, 2025",106.64 ₹/L,- 0.69
"Oct 11, 2025",105.95 ₹/L,+ 0.74
"Oct 10, 2025",106.69 ₹/L,+ 0.03
"Oct 09, 2025",106.72 ₹/L,- 0.38
"Oct 08, 2025",106.34 ₹/L,- 0.12
"Oct 07, 2025",106.22 ₹/L,+ 0.12
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",106.18 ₹/L,- 0.18
"Oct 14, 2025",106.00 ₹/L,- 0.15
"Oct 13, 2025",105.85 ₹/L,- 0.52
"Oct 12, 2025",105.33 ₹/L,+ 0.93
"Oct 11, 2025",106.26 ₹/L,- 0.41
"Oct 10, 2025",105.85 ₹/L,  0.00
"Oct 09, 2025",105.85 ₹/L,  0.00
"Oct 08, 2025",105.85 ₹/L,+ 0.02
"Oct 07, 2025",105.87 ₹/L,- 0.02
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",105.54 ₹/L,+ 0.56
"Oct 14, 2025",106.10 ₹/L,+ 0.21
"Oct 13, 2025",106.31 ₹/L,- 0.77
"Oct 12, 2025",105.54 ₹/L,+ 0.40
"Oct 11, 2025",105.94 ₹/L,+ 0.11
"Oct 10, 2025",106.05 ₹/L,+ 0.10
"Oct 09, 2025",106.15 ₹/L,- 0.55
"Oct 08, 2025",105.60 ₹/L,+ 0.45
"Oct 07, 2025",106.05 ₹/L,+ 0.10
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",106.71 ₹/L,- 0.97
"Oct 14, 2025",105.74 ₹/L,+ 0.09
"Oct 13, 2025",105.83 ₹/L,+ 0.84
"Oct 12, 2025",106.67 ₹/L,- 1.04
"Oct 11, 2025",105.63 ₹/L,+ 1.09
"Oct 10, 2025",106.72 ₹/L,- 0.31
"Oct 09, 2025",106.41 ₹/L,- 0.18
"Oct 08, 2025",106.23 ₹/L,- 0.05
"Oct 07, 2025",106.18 ₹/L,- 0.35
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",105.76 ₹/L,  0.00
"Oct 14, 2025",105.76 ₹/L,+ 0.05
"Oct 13, 2025",105.81 ₹/L,+ 0.05
"Oct 12, 2025",105.86 ₹/L,- 0.10
"Oct 11, 2025",105.76 ₹/L,  0.00
"Oct 10, 2025",105.76 ₹/L,+ 0.05
"Oct 09, 2025",105.81 ₹/L,- 0.05
"Oct 08, 2025",105.76 ₹/L,  0.00
"Oct 07, 2025",105.76 ₹/L,+ 0.41
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",105.41 ₹/L,- 0.30
"Oct 14, 2025",105.11 ₹/L,+ 0.24
"Oct 13, 2025",105.35 ₹/L,+ 0.06
"Oct 12, 2025",105.41 ₹/L,- 0.15
"Oct 11, 2025",105.26 ₹/L,+ 0.11
"Oct 10, 2025",105.37 ₹/L,- 0.17
"Oct 09, 2025",105.20 ₹/L,- 0.09
"Oct 08, 2025",105.11 ₹/L,+ 0.15
"Oct 07, 2025",105.26 ₹/L,- 0.15
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",105.90 ₹/L,+ 0.25
"Oct 14, 2025",106.15 ₹/L,- 0.21
"Oct 13, 2025",105.94 ₹/L,- 0.39
"Oct 12, 2025",105.55 ₹/L,+ 0.41
"Oct 11, 2025",105.96 ₹/L,- 0.38
"Oct 10, 2025",105.58 ₹/L,+ 0.38
"Oct 09, 2025",105.96 ₹/L,- 0.34
"Oct 08, 2025",105.62 ₹/L,- 0.21
"Oct 07, 2025",105.41 ₹/L,+ 0.55
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",105.41 ₹/L,+ 0.29
"Oct 14, 2025",105.70 ₹/L,- 0.14
"Oct 13, 2025",105.56 ₹/L,  0.00
"Oct 12, 2025",105.56 ₹/L,- 0.15
"Oct 11, 2025",105.41 ₹/L,  0.00
"Oct 10, 2025",105.41 ₹/L,  0.00
"Oct 09, 2025",105.41 ₹/L,+ 0.22
"Oct 08, 2025",105.63 ₹/L,- 0.22
"Oct 07, 2025",105.41 ₹/L,+ 0.15
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",105.11 ₹/L,+ 0.25
"Oct 14, 2025",105.36 ₹/L,+ 0.04
"Oct 13, 2025",105.40 ₹/L,- 0.29
"Oct 12, 2025",105.11 ₹/L,  0.00
"Oct 11, 2025",105.11 ₹/L,+ 0.50
"Oct 10, 2025",105.61 ₹/L,+ 0.01
"Oct 09, 2025",105.62 ₹/L,+ 0.01
"Oct 08, 2025",105.63 ₹/L,+ 0.21
"Oct 07, 2025",105.84 ₹/L,- 0.44
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",106.27 ₹/L,+ 0.03
"Oct 14, 2025",106.30 ₹/L,+ 0.16
"Oct 13, 2025",106.46 ₹/L,  0.00
"Oct 12, 2025",106.46 ₹/L,- 0.11
"Oct 11, 2025",106.35 ₹/L,- 0.12
"Oct 10, 2025",106.23 ₹/L,- 0.29
"Oct 09, 2025",105.94 ₹/L,- 0.04
"Oct 08, 2025",105.90 ₹/L,+ 0.48
"Oct 07, 2025",106.38 ₹/L,- 0.15
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",105.35 ₹/L,+ 0.94
"Oct 14, 2025",106.29 ₹/L,  0.00
"Oct 13, 2025",106.29 ₹/L,- 0.94
"Oct 12, 2025",105.35 ₹/L,  0.00
"Oct 11, 2025",105.35 ₹/L,  0.00
"Oct 10, 2025",105.35 ₹/L,+ 0.94
"Oct 09, 2025",106.29 ₹/L,  0.00
"Oct 08, 2025",106.29 ₹/L,- 0.94
"Oct 07, 2025",105.35 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",105.41 ₹/L,  0.00
"Oct 14, 2025",105.41 ₹/L,  0.00
"Oct 13, 2025",105.41 ₹/L,  0.00
"Oct 12, 2025",105.41 ₹/L,  0.00
"Oct 11, 2025",105.41 ₹/L,  0.00
"Oct 10, 2025",105.41 ₹/L,  0.00
"Oct 09, 2025",105.41 ₹/L,  0.00
"Oct 08, 2025",105.41 ₹/L,  0.00
"Oct 07, 2025",105.41 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",105.34 ₹/L,- 0.15
"Oct 14, 2025",105.19 ₹/L,+ 0.55
"Oct 13, 2025",105.74 ₹/L,  0.00
"Oct 12, 2025",105.74 ₹/L,- 0.55
"Oct 11, 2025",105.19 ₹/L,+ 0.12
"Oct 10, 2025",105.31 ₹/L,+ 0.43
"Oct 09, 2025",105.74 ₹/L,+ 0.06
"Oct 08, 2025",105.80 ₹/L,- 0.38
"Oct 07, 2025",105.42 ₹/L,- 0.22
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",106.25 ₹/L,+ 0.46
"Oct 14, 2025",106.71 ₹/L,+ 0.02
"Oct 13, 2025",106.73 ₹/L,- 0.35
"Oct 12, 2025",106.38 ₹/L,- 0.32
"Oct 11, 2025",106.06 ₹/L,+ 0.47
"Oct 10, 2025",106.53 ₹/L,+ 0.17
"Oct 09, 2025",106.70 ₹/L,- 1.21
"Oct 08, 2025",105.49 ₹/L,+ 1.06
"Oct 07, 2025",106.55 ₹/L,+ 0.18
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",106.50 ₹/L,+ 0.22
"Oct 14, 2025",106.72 ₹/L,- 0.33
"Oct 13, 2025",106.39 ₹/L,+ 0.32
"Oct 12, 2025",106.71 ₹/L,- 0.21
"Oct 11, 2025",106.50 ₹/L,- 0.42
"Oct 10, 2025",106.08 ₹/L,+ 0.41
"Oct 09, 2025",106.49 ₹/L,- 0.10
"Oct 08, 2025",106.39 ₹/L,+ 0.10
"Oct 07, 2025",106.49 ₹/L,- 0.52
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",105.41 ₹/L,+ 0.51
"Oct 14, 2025",105.92 ₹/L,+ 0.16
"Oct 13, 2025",106.08 ₹/L,- 0.42
"Oct 12, 2025",105.66 ₹/L,+ 0.28
"Oct 11, 2025",105.94 ₹/L,- 0.23
"Oct 10, 2025",105.71 ₹/L,+ 0.37
"Oct 09, 2025",106.08 ₹/L,+ 0.08
"Oct 08, 2025",106.16 ₹/L,- 0.08
"Oct 07, 2025",106.08 ₹/L,- 0.67
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",105.24 ₹/L,+ 0.10
"Oct 14, 2025",105.34 ₹/L,+ 0.12
"Oct 13, 2025",105.46 ₹/L,+ 0.05
"Oct 12, 2025",105.51 ₹/L,+ 0.15
"Oct 11, 2025",105.66 ₹/L,- 0.42
"Oct 10, 2025",105.24 ₹/L,+ 0.22
"Oct 09, 2025",105.46 ₹/L,- 0.12
"Oct 08, 2025",105.34 ₹/L,- 0.10
"Oct 07, 2025",105.24 ₹/L,+ 0.22
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",105.95 ₹/L,- 0.02
"Oct 14, 2025",105.93 ₹/L,+ 0.02
"Oct 13, 2025",105.95 ₹/L,  0.00
"Oct 12, 2025",105.95 ₹/L,+ 0.02
"Oct 11, 2025",105.97 ₹/L,+ 0.15
"Oct 10, 2025",106.12 ₹/L,- 0.34
"Oct 09, 2025",105.78 ₹/L,+ 0.33
"Oct 08, 2025",106.11 ₹/L,- 0.41
"Oct 07, 2025",105.70 ₹/L,+ 0.08
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",105.74 ₹/L,+ 0.49
"Oct 14, 2025",106.23 ₹/L,- 0.45
"Oct 13, 2025",105.78 ₹/L,- 0.18
"Oct 12, 2025",105.60 ₹/L,+ 0.14
"Oct 11, 2025",105.74 ₹/L,+ 0.12
"Oct 10, 2025",105.86 ₹/L,- 0.08
"Oct 09, 2025",105.78 ₹/L,- 0.03
"Oct 08, 2025",105.75 ₹/L,+ 0.02
"Oct 07, 2025",105.77 ₹/L,+ 0.01
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",105.75 ₹/L,- 0.01
"Oct 14, 2025",105.74 ₹/L,- 0.49
"Oct 13, 2025",105.25 ₹/L,+ 0.20
"Oct 12, 2025",105.45 ₹/L,- 0.68
"Oct 11, 2025",104.77 ₹/L,+ 0.98
"Oct 10, 2025",105.75 ₹/L,- 0.74
"Oct 09, 2025",105.01 ₹/L,+ 0.32
"Oct 08, 2025",105.33 ₹/L,+ 0.24
"Oct 07, 2025",105.57 ₹/L,- 0.24
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",106.23 ₹/L,+ 0.48
"Oct 14, 2025",106.71 ₹/L,- 0.44
"Oct 13, 2025",106.27 ₹/L,+ 0.44
"Oct 12, 2025",106.71 ₹/L,- 0.16
"Oct 11, 2025",106.55 ₹/L,+ 0.16
"Oct 10, 2025",106.71 ₹/L,- 0.78
"Oct 09, 2025",105.93 ₹/L,+ 0.23
"Oct 08, 2025",106.16 ₹/L,+ 0.43
"Oct 07, 2025",106.59 ₹/L,- 0.66
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",105.41 ₹/L,+ 0.04
"Oct 14, 2025",105.45 ₹/L,+ 0.25
"Oct 13, 2025",105.70 ₹/L,- 0.13
"Oct 12, 2025",105.57 ₹/L,+ 0.81
"Oct 11, 2025",106.38 ₹/L,- 0.97
"Oct 10, 2025",105.41 ₹/L,+ 0.29
"Oct 09, 2025",105.70 ₹/L,+ 0.21
"Oct 08, 2025",105.91 ₹/L,- 0.31
"Oct 07, 2025",105.60 ₹/L,+ 0.10
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",106.13 ₹/L,- 0.64
"Oct 14, 2025",105.49 ₹/L,+ 0.03
"Oct 13, 2025",105.52 ₹/L,+ 0.61
"Oct 12, 2025",106.13 ₹/L,- 0.30
"Oct 11, 2025",105.83 ₹/L,- 0.12
"Oct 10, 2025",105.71 ₹/L,- 0.19
"Oct 09, 2025",105.52 ₹/L,+ 0.41
"Oct 08, 2025",105.93 ₹/L,+ 0.31
"Oct 07, 2025",106.24 ₹/L,- 0.72
